0000001089,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",6:42:39 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:13,     13729,   120.3041,  3.18591e-09,  4.67386e-09,  1.33546e-08,  2.33705e-09, -2.33275e-10,  2.83723e-09, -4.67625e-10,  1.63615e-09,
00:00:14,     14067,   120.5910,  6.90443e-09,  3.11511e-09,  1.44674e-08,  2.33705e-09,  9.34175e-10,  3.33787e-09,  7.00900e-10,  4.67625e-10,
00:00:14,     14406,   120.5910,  6.37425e-09,  3.63469e-09,  1.40210e-08,  3.03795e-09,  7.00900e-10,  3.00462e-09,  7.00900e-10,  4.67625e-10,
00:00:14,     14744,   120.5910,  5.84409e-09,  4.67386e-09,  1.40210e-08,  2.80467e-09,  7.00900e-10,  3.50526e-09,  9.35250e-10,  9.35250e-10,
00:00:15,     15082,   120.3041,  4.24868e-09,  3.63469e-09,  1.40221e-08,  1.63507e-09, -7.00900e-10,  2.67061e-09, -7.00900e-10,  1.40287e-09,
00:00:15,     15420,   120.0158,  4.24868e-09,  3.37550e-09,  1.42442e-08,  1.86942e-09,  0.00000e+00,  2.33659e-09, -4.67625e-10,  7.00900e-10,
00:00:15,     15757,   120.5910,  5.31148e-09,  2.85591e-09,  1.44664e-08,  1.40180e-09, -4.67625e-10,  2.16996e-09, -4.67625e-10,  9.35250e-10,
00:00:16,     16094,   120.0158,  4.77886e-09,  3.63469e-09,  1.31313e-08,  2.57140e-09,  4.67625e-10,  3.17201e-09,  4.67625e-10,  1.16852e-09,
00:00:16,     16432,   120.0158,  4.78130e-09,  2.85591e-09,  1.42442e-08,  1.86942e-09, -4.67625e-10,  2.67137e-09,  0.00000e+00,  1.16852e-09,
00:00:16,     16770,   120.5910,  5.31148e-09,  3.37550e-09,  1.40221e-08,  2.33705e-09, -4.67625e-10,  2.67061e-09,  2.33275e-10,  7.00900e-10,
