0000001024,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",6/18/2016,"Time",6:09:34 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,4.602,4.602,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,4.602,4.602,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,4.602,4.602,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,4.602,4.602,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",39.00,39.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 6","RGA","SEM","mass",41.00,41.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,4.602,4.602,1.400000,1.000000,
"Scan 8","RGA","SEM","mass",68.00,68.00,0.01,4.602,4.602,1.000000,1.000000,
"Scan 9","RGA","SEM","mass",96.00,96.00,0.01,4.602,4.602,1.000000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","furan39","Propene","Carbon dioxide","furan68","furf96",
00:00:21,     21180,   120.5910,  3.18834e-09,  3.37550e-09,  1.13510e-08,  1.16852e-09, -7.00900e-10,  1.83594e-09, -4.67625e-10,  7.00900e-10,
00:00:21,     21518,   120.5910,  5.31148e-09,  3.63469e-09,  9.57057e-09,  1.86942e-09,  0.00000e+00,  2.33659e-09, -4.67625e-10,  1.63507e-09,
00:00:21,     21856,   120.5910,  4.78130e-09,  3.89389e-09,  1.00149e-08,  1.86942e-09,  4.67625e-10,  2.33736e-09, -2.34350e-10,  1.40180e-09,
00:00:22,     22193,   120.5910,  3.18591e-09,  4.41467e-09,  1.00159e-08,  1.16852e-09, -2.34350e-10,  1.66932e-09, -4.67625e-10,  1.16852e-09,
00:00:22,     22531,   120.5910,  3.18591e-09,  3.63469e-09,  1.06834e-08,  9.35250e-10, -2.33275e-10,  1.66932e-09, -4.67625e-10,  1.40180e-09,
00:00:22,     22868,   120.3027,  3.18591e-09,  3.89508e-09,  9.79371e-09,  1.86942e-09,  2.33275e-10,  2.00257e-09, -2.34350e-10,  1.16852e-09,
00:00:23,     23206,   120.3027,  4.24868e-09,  3.37550e-09,  1.04602e-08,  1.16852e-09, -4.67625e-10,  1.66932e-09, -7.00900e-10,  1.40180e-09,
00:00:23,     23545,   120.3027,  4.77886e-09,  2.59672e-09,  1.06834e-08,  1.16852e-09, -2.33275e-10,  1.83671e-09, -4.67625e-10,  9.35250e-10,
00:00:23,     23883,   120.5910,  5.31148e-09,  3.37550e-09,  9.57057e-09,  1.86942e-09,  7.01975e-10,  2.50398e-09,  4.67625e-10,  4.67625e-10,
00:00:24,     24221,   120.3041,  3.71607e-09,  4.15428e-09,  9.12522e-09,  1.63615e-09,  0.00000e+00,  2.33736e-09, -2.34350e-10,  1.40180e-09,
00:00:24,     24560,   120.3041,  3.18591e-09,  3.37550e-09,  1.02381e-08,  9.35250e-10, -4.67625e-10,  2.00257e-09, -4.67625e-10,  1.40180e-09,
00:00:24,     24898,   120.8793,  4.77886e-09,  3.37550e-09,  8.90305e-09,  1.86942e-09,  7.01975e-10,  2.67061e-09,  7.00900e-10,  4.67625e-10,
00:00:25,     25237,   120.8793,  3.71607e-09,  3.89389e-09,  9.34841e-09,  1.40180e-09,  4.67625e-10,  2.16996e-09,  4.67625e-10,  1.40180e-09,
00:00:25,     25575,   120.5910,  3.18591e-09,  3.89508e-09,  8.90203e-09,  9.35250e-10, -2.33275e-10,  2.00257e-09, -4.67625e-10,  1.16852e-09,
00:00:25,     25913,   120.3041,  6.37425e-09,  2.33633e-09,  1.02381e-08,  1.63615e-09,  4.67625e-10,  2.16996e-09,  7.00900e-10,  0.00000e+00,
00:00:26,     26250,   120.5910,  3.71852e-09,  3.11630e-09,  1.00159e-08,  9.35250e-10,  0.00000e+00,  1.50269e-09, -4.67625e-10,  1.16852e-09,
00:00:26,     26588,   120.3041,  4.77886e-09,  2.85711e-09,  9.57057e-09,  2.10270e-09,  7.00900e-10,  2.67061e-09,  7.00900e-10,  0.00000e+00,
00:00:26,     26926,   120.3041,  5.84409e-09,  3.11630e-09,  8.90305e-09,  2.10270e-09,  7.00900e-10,  2.67061e-09,  4.67625e-10,  2.34350e-10,
00:00:27,     27264,   120.5910,  3.18591e-09,  3.89508e-09,  8.90203e-09,  1.63615e-09,  2.33275e-10,  2.00257e-09,  2.34350e-10,  9.35250e-10,
00:00:27,     27603,   120.5910,  6.37425e-09,  2.85591e-09,  1.02381e-08,  1.63615e-09,  0.00000e+00,  2.00334e-09,  4.67625e-10,  0.00000e+00,
00:00:27,     27941,   120.3041,  6.37182e-09,  2.33633e-09,  9.79267e-09,  1.63615e-09,  9.34175e-10,  2.33659e-09,  4.67625e-10, -2.33275e-10,
00:00:28,     28279,   120.3027,  4.77886e-09,  3.37550e-09,  8.67986e-09,  1.86942e-09,  4.67625e-10,  2.33736e-09,  2.34350e-10,  4.67625e-10,
00:00:28,     28618,   120.0158,  5.31148e-09,  2.07713e-09,  1.00159e-08,  1.40180e-09,  2.33275e-10,  2.00334e-09,  2.33275e-10, -2.33275e-10,
00:00:28,     28956,   120.3041,  5.84164e-09,  2.33633e-09,  8.67986e-09,  1.63615e-09,  2.33275e-10,  2.67061e-09,  7.00900e-10, -4.67625e-10,
00:00:29,     29295,   120.0158,  6.90443e-09,  2.85591e-09,  9.34738e-09,  1.63615e-09,  9.34175e-10,  2.33659e-09,  7.00900e-10,  4.67625e-10,
00:00:29,     29633,   120.3041,  4.24868e-09,  3.11511e-09,  8.90305e-09,  9.34175e-10, -7.00900e-10,  1.66932e-09, -7.00900e-10,  7.01975e-10,
00:00:29,     29971,   120.8793,  5.31148e-09,  2.33752e-09,  1.02381e-08,  9.35250e-10, -2.33275e-10,  2.16996e-09,  0.00000e+00,  2.34350e-10,
00:00:30,     30310,   120.3041,  5.84164e-09,  2.07713e-09,  9.57057e-09,  1.63615e-09,  4.67625e-10,  2.50321e-09,  4.67625e-10, -2.33275e-10,
00:00:30,     30648,   120.3041,  2.65573e-09,  3.89389e-09,  9.57057e-09,  1.16852e-09,  2.33275e-10,  1.83594e-09,  0.00000e+00,  1.16852e-09,
00:00:30,     30986,   120.3041,  2.65573e-09,  3.37550e-09,  8.67986e-09,  4.67625e-10, -2.34350e-10,  1.50269e-09, -7.00900e-10,  1.16852e-09,
00:00:31,     31324,   120.0158,  4.78130e-09,  2.33752e-09,  9.12522e-09,  7.00900e-10, -7.00900e-10,  1.66932e-09, -4.67625e-10,  9.35250e-10,
00:00:31,     31662,   120.3041,  5.31148e-09,  2.33752e-09,  1.00159e-08,  4.67625e-10, -4.67625e-10,  1.33530e-09, -2.33275e-10,  7.01975e-10,
00:00:32,     32000,   120.0158,  6.37182e-09,  2.33633e-09,  8.90305e-09,  1.40287e-09,  4.66550e-10,  2.00334e-09,  2.33275e-10, -2.33275e-10,
00:00:32,     32338,   120.3041,  3.18591e-09,  3.11630e-09,  9.34841e-09,  2.34350e-10, -4.67625e-10,  1.33530e-09, -4.67625e-10,  9.35250e-10,
00:00:32,     32677,   120.0158,  3.18591e-09,  2.85591e-09,  1.00149e-08,  4.67625e-10, -7.00900e-10,  1.33530e-09, -4.67625e-10,  9.35250e-10,
00:00:33,     33014,   120.5910,  4.24868e-09,  3.63589e-09,  9.79267e-09,  4.67625e-10, -2.34350e-10,  1.50193e-09, -9.34175e-10,  9.35250e-10,
00:00:33,     33352,   119.7276,  5.31148e-09,  2.59672e-09,  1.02381e-08,  7.00900e-10, -2.33275e-10,  1.50269e-09, -2.33275e-10,  7.00900e-10,
00:00:33,     33689,   120.3041,  5.84164e-09,  2.07713e-09,  1.02381e-08,  7.01975e-10, -2.33275e-10,  1.66932e-09,  2.33275e-10,  2.34350e-10,
00:00:34,     34028,   120.3041,  3.71852e-09,  3.37550e-09,  9.12522e-09,  1.63615e-09,  4.67625e-10,  2.16996e-09,  2.34350e-10,  4.67625e-10,
00:00:34,     34366,   120.0158,  3.71607e-09,  3.63589e-09,  9.34738e-09,  4.67625e-10, -4.67625e-10,  1.66932e-09, -4.67625e-10,  1.16852e-09,
00:00:34,     34705,   120.3027,  4.78130e-09,  2.85591e-09,  9.57057e-09,  7.00900e-10, -4.67625e-10,  1.33530e-09, -4.67625e-10,  4.67625e-10,
00:00:35,     35043,   120.3041,  4.78130e-09,  2.85591e-09,  9.12522e-09,  1.40287e-09,  9.35250e-10,  2.33659e-09,  7.00900e-10,  2.34350e-10,
00:00:35,     35381,   120.3027,  3.71852e-09,  3.63469e-09,  9.79371e-09,  1.16852e-09, -2.33275e-10,  1.66932e-09, -4.67625e-10,  1.16852e-09,
00:00:35,     35719,   119.7276,  4.24868e-09,  3.37550e-09,  9.12522e-09,  2.34350e-10, -2.33275e-10,  1.33530e-09, -9.34175e-10,  9.35250e-10,
00:00:36,     36058,   120.0158,  5.84164e-09,  2.59672e-09,  1.00149e-08,  1.63615e-09,  7.00900e-10,  2.50398e-09,  7.00900e-10, -2.34350e-10,
00:00:36,     36396,   120.0158,  5.31148e-09,  3.11630e-09,  8.90305e-09,  1.40287e-09,  4.67625e-10,  2.50398e-09,  0.00000e+00,  4.67625e-10,
00:00:36,     36734,   120.0158,  3.18591e-09,  3.11630e-09,  8.90203e-09,  1.16852e-09,  2.33275e-10,  1.83594e-09, -2.34350e-10,  9.35250e-10,
00:00:37,     37073,   119.7289,  6.90443e-09,  2.33633e-09,  9.34738e-09,  1.40180e-09,  4.67625e-10,  2.33659e-09,  2.33275e-10, -4.67625e-10,
00:00:37,     37412,   119.7289,  5.84409e-09,  2.07713e-09,  9.12522e-09,  1.63615e-09,  9.34175e-10,  2.50398e-09,  7.00900e-10, -2.33275e-10,
00:00:37,     37750,   119.4406,  5.31148e-09,  2.85591e-09,  9.34841e-09,  1.63615e-09,  4.67625e-10,  2.00334e-09,  4.67625e-10,  0.00000e+00,
00:00:38,     38088,   119.4420,  5.84164e-09,  1.81794e-09,  9.79267e-09,  7.01975e-10, -2.33275e-10,  2.00334e-09,  0.00000e+00,  0.00000e+00,
00:00:38,     38427,   119.7289,  6.37425e-09,  1.81794e-09,  9.57057e-09,  4.67625e-10,  0.00000e+00,  1.66932e-09, -2.33275e-10,  2.33275e-10,
00:00:38,     38765,   119.1537,  5.31148e-09,  2.59672e-09,  9.12522e-09,  1.40180e-09,  9.34175e-10,  2.16996e-09,  7.00900e-10,  0.00000e+00,
00:00:39,     39103,   119.4420,  2.65573e-09,  3.37550e-09,  9.57057e-09,  2.34350e-10, -2.34350e-10,  1.50269e-09, -4.67625e-10,  7.01975e-10,
00:00:39,     39440,   119.7289,  5.84409e-09,  2.85591e-09,  8.45770e-09,  1.63507e-09,  4.67625e-10,  2.50398e-09,  7.00900e-10,  0.00000e+00,
00:00:39,     39778,   119.1537,  4.24868e-09,  2.33752e-09,  1.00159e-08,  2.33275e-10, -7.00900e-10,  1.33530e-09, -2.33275e-10,  2.33275e-10,
00:00:40,     40115,   120.0158,  4.78130e-09,  2.59672e-09,  8.23450e-09,  1.40287e-09,  7.01975e-10,  2.16996e-09,  4.67625e-10,  4.67625e-10,
00:00:40,     40453,   119.4420,  6.90443e-09,  2.07713e-09,  9.34841e-09,  9.35250e-10,  0.00000e+00,  1.83594e-09,  2.33275e-10,  0.00000e+00,
00:00:40,     40792,   119.1537,  6.37425e-09,  2.07713e-09,  9.12522e-09,  1.40180e-09,  4.67625e-10,  2.33659e-09,  4.67625e-10,  0.00000e+00,
00:00:41,     41129,   119.4420,  5.84409e-09,  1.81674e-09,  9.12522e-09,  9.35250e-10,  2.34350e-10,  2.33659e-09,  7.00900e-10, -2.34350e-10,
00:00:41,     41467,   119.7289,  6.37425e-09,  2.07713e-09,  8.67986e-09,  1.16852e-09,  4.67625e-10,  2.16996e-09,  7.00900e-10, -2.34350e-10,
