Mon, Oct 16, 2017	12:25 PM
 x = amu	 y = amps
34.680	106.246
34.740	106.882
34.800	105.800
34.860	106.080
34.920	105.965
34.980	106.462
35.040	107.023
35.100	105.672
35.160	107.328
35.220	106.246
35.280	105.278
35.340	105.138
35.400	104.743
35.460	105.736
35.520	121.950
35.580	143.767
35.640	152.912
35.700	156.720
35.760	160.490
35.820	163.470
35.880	161.012
35.940	156.988
36.000	156.516
36.060	155.052
36.120	153.854
36.180	152.568
36.240	150.403
36.300	138.278
36.360	116.218
36.420	105.087
36.480	111.901
36.540	153.765
36.600	174.628
36.660	204.380
36.720	210.188
36.780	214.773
36.840	218.072
36.900	219.957
36.960	211.678
37.020	215.868
37.080	212.085
37.140	202.622
37.200	189.822
37.260	193.796
37.320	155.548
37.380	136.826
37.440	107.315
37.500	117.339
37.560	137.412
37.620	200.126
37.680	236.234
37.740	247.493
37.800	251.925
37.860	253.530
37.920	249.034
37.980	237.240
38.040	244.767
38.100	242.755
38.160	240.475
38.220	227.790
38.280	216.059
38.340	158.936
38.400	126.751
38.460	113.582
38.520	134.087
38.580	260.688
38.640	353.269
38.700	387.097
38.760	425.485
38.820	445.927
38.880	449.022
38.940	441.265
39.000	424.924
39.060	426.351
39.120	412.837
39.180	403.654
39.240	376.093
39.300	322.090
39.360	249.734
39.420	147.384
39.480	156.567
39.540	393.542
39.600	575.176
39.660	612.265
39.720	688.823
39.780	716.130
39.840	712.883
39.900	691.727
39.960	673.654
40.020	688.225
40.080	628.962
40.140	673.603
40.200	566.681
40.260	513.532
40.320	393.249
40.380	177.481
40.440	128.483
40.500	112.244
40.560	146.722
40.620	198.801
40.680	278.850
40.740	326.548
40.800	330.993
40.860	342.634
40.920	350.543
40.980	341.832
41.040	339.705
41.100	340.940
41.160	320.944
41.220	330.267
41.280	298.744
41.340	258.255
41.400	162.426
41.460	129.770
41.520	124.815
41.580	163.012
41.640	277.691
41.700	353.358
41.760	364.859
41.820	383.161
41.880	386.804
41.940	391.810
42.000	366.884
42.060	367.050
42.120	373.405
42.180	365.088
42.240	361.229
42.300	331.592
42.360	226.287
42.420	165.890
42.480	118.192
42.540	133.973
42.600	270.406
42.660	423.370
42.720	479.436
42.780	532.636
42.840	568.617
42.900	576.208
42.960	578.602
43.020	569.623
43.080	561.293
43.140	546.850
43.200	537.400
43.260	498.554
43.320	461.312
43.380	397.133
43.440	217.358
43.500	237.151
43.560	436.973
43.620	1413.171
43.680	1782.171
43.740	2316.261
43.800	2534.411
43.860	2543.098
43.920	2666.399
43.980	2512.008
44.040	2428.482
44.100	2614.918
44.160	2418.663
44.220	2498.737
44.280	2156.050
44.340	1957.972
44.400	965.090
44.460	279.092
44.520	112.143
44.580	122.026
44.640	152.008
44.700	214.760
44.760	246.881
44.820	261.898
44.880	269.298
44.940	274.443
45.000	276.379
45.060	265.260
45.120	263.821
45.180	264.814
45.240	266.776
45.300	243.557
45.360	228.579
45.420	165.661
45.480	128.980
45.540	105.150
45.600	106.628
45.660	114.129
45.720	120.752
45.780	127.172
45.840	132.839
45.900	130.942
45.960	132.317
46.020	132.559
46.080	133.158
46.140	131.859
46.200	131.693
46.260	130.356
46.320	130.050
46.380	126.025
46.440	119.925
46.500	108.449
46.560	104.462
46.620	106.857
46.680	113.187
46.740	117.033
46.800	122.510
46.860	122.243
46.920	125.974
46.980	124.803
47.040	124.153
47.100	123.147
47.160	124.140
47.220	122.039
47.280	124.752
47.340	121.262
47.400	119.288
47.460	112.410
47.520	108.054
47.580	111.302
47.640	151.320
47.700	181.085
47.760	228.452
47.820	250.893
47.880	259.249
47.940	268.253
48.000	272.609
48.060	270.011
48.120	267.209
48.180	270.724
48.240	256.650
48.300	259.733
48.360	230.961
