Wed, Oct 04, 2017	12:34 PM
 x = amu	 y = amps
34.680	102.909
34.740	103.686
34.800	103.316
34.860	103.966
34.920	104.412
34.980	103.240
35.040	104.004
35.100	102.947
35.160	104.055
35.220	103.609
35.280	103.596
35.340	103.303
35.400	103.023
35.460	103.367
35.520	102.947
35.580	109.875
35.640	120.345
35.700	136.800
35.760	149.129
35.820	154.491
35.880	157.306
35.940	158.096
36.000	155.434
36.060	153.230
36.120	149.524
36.180	151.154
36.240	145.690
36.300	141.526
36.360	130.126
36.420	118.778
36.480	108.793
36.540	107.354
36.600	113.709
36.660	149.499
36.720	185.250
36.780	197.464
36.840	205.271
36.900	212.098
36.960	213.321
37.020	209.054
37.080	207.309
37.140	197.107
37.200	194.254
37.260	189.593
37.320	173.469
37.380	158.045
37.440	127.388
37.500	108.831
37.560	108.347
37.620	127.770
37.680	163.178
37.740	193.656
37.800	208.341
37.860	210.837
37.920	222.593
37.980	224.414
38.040	219.078
38.100	217.893
38.160	212.608
38.220	210.162
38.280	206.074
38.340	170.730
38.400	145.385
38.460	118.447
38.520	109.149
38.580	116.142
38.640	159.255
38.700	217.002
38.760	285.613
38.820	328.841
38.880	348.022
38.940	372.425
39.000	364.999
39.060	358.185
39.120	341.093
39.180	330.598
39.240	328.917
39.300	324.255
39.360	283.206
39.420	214.416
39.480	154.657
39.540	128.738
39.600	191.516
39.660	255.644
39.720	326.726
39.780	373.673
39.840	394.191
39.900	412.621
39.960	406.737
40.020	397.668
40.080	376.921
40.140	363.917
40.200	358.109
40.260	347.525
40.320	323.631
40.380	241.787
40.440	177.595
40.500	124.191
40.560	108.666
40.620	109.175
40.680	125.274
40.740	146.989
40.800	160.146
40.860	169.151
40.920	173.290
40.980	175.366
41.040	170.972
41.100	168.119
41.160	166.336
41.220	165.916
41.280	163.789
41.340	156.122
41.400	140.787
41.460	121.708
41.520	110.742
41.580	105.774
41.640	113.480
41.700	142.468
41.760	162.184
41.820	179.327
41.880	190.268
41.940	198.445
42.000	199.247
42.060	196.114
42.120	191.185
42.180	187.975
42.240	192.331
42.300	183.505
42.360	163.292
42.420	148.951
42.480	121.020
42.540	107.379
42.600	104.755
42.660	109.888
42.720	119.415
42.780	136.686
42.840	149.078
42.900	154.568
42.960	158.758
43.020	158.885
43.080	156.707
43.140	156.389
43.200	153.090
43.260	157.077
43.320	150.772
43.380	147.614
43.440	138.749
43.500	126.433
43.560	135.883
43.620	269.973
43.680	614.061
43.740	1226.849
43.800	1689.488
43.860	1892.775
43.920	2048.032
43.980	2157.463
44.040	2138.040
44.100	2072.792
44.160	2041.524
44.220	1985.394
44.280	1754.788
44.340	1760.099
44.400	1317.049
44.460	699.509
44.520	293.369
44.580	145.232
44.640	110.194
44.700	113.034
44.760	128.267
44.820	138.443
44.880	146.455
44.940	154.109
45.000	153.905
45.060	153.192
45.120	152.772
45.180	150.556
45.240	151.485
45.300	149.690
45.360	146.837
45.420	134.762
45.480	123.911
45.540	111.060
45.600	104.985
45.660	103.596
45.720	104.768
45.780	106.768
45.840	109.200
45.900	112.690
45.960	114.015
46.020	113.633
46.080	113.403
46.140	112.728
46.200	112.779
46.260	112.665
46.320	112.155
46.380	110.487
46.440	110.614
46.500	107.341
46.560	104.526
46.620	103.762
46.680	102.488
46.740	103.978
46.800	104.666
46.860	106.997
46.920	107.748
46.980	108.729
47.040	107.545
