Fri, Oct 20, 2017	10:25 AM
 x = amu	 y = amps
28.740	1768.021
28.800	1957.590
28.860	2059.648
28.920	2237.869
28.980	2114.771
29.040	1997.812
29.100	1986.362
29.160	1969.906
29.220	1831.741
29.280	1624.023
29.340	1632.123
29.400	944.762
29.460	167.011
29.520	122.548
29.580	170.488
29.640	297.089
29.700	790.333
29.760	1014.533
29.820	1080.125
29.880	1116.259
29.940	1223.856
30.000	1129.963
30.060	1056.627
30.120	1031.498
30.180	958.212
30.240	986.347
30.300	829.931
30.360	711.953
30.420	351.562
30.480	141.704
30.540	124.166
30.600	198.394
30.660	341.080
30.720	652.983
30.780	741.247
30.840	773.253
30.900	849.023
30.960	858.104
31.020	751.003
31.080	782.589
31.140	751.347
31.200	719.187
31.260	755.257
31.320	651.531
31.380	471.323
31.440	338.074
31.500	115.671
31.560	146.646
31.620	225.497
31.680	501.419
31.740	601.643
31.800	645.978
31.860	698.019
31.920	716.895
31.980	683.181
32.040	637.114
32.100	637.839
32.160	600.254
32.220	612.214
32.280	543.386
32.340	492.351
32.400	366.388
32.460	129.057
32.520	106.207
32.580	105.940
32.640	110.780
32.700	113.658
32.760	114.804
32.820	117.696
32.880	119.109
32.940	118.753
33.000	117.033
33.060	117.657
33.120	116.498
33.180	114.804
33.240	116.791
33.300	113.913
33.360	113.951
33.420	109.799
33.480	105.176
33.540	104.794
33.600	106.411
33.660	110.143
33.720	110.232
33.780	110.856
33.840	110.894
33.900	112.041
33.960	110.232
34.020	110.818
34.080	111.251
34.140	109.264
34.200	110.334
34.260	109.825
34.320	110.614
34.380	108.258
34.440	105.711
34.500	104.233
34.560	104.093
34.620	104.386
34.680	105.303
34.740	105.061
34.800	105.239
34.860	105.596
34.920	106.564
34.980	105.532
35.040	104.717
35.100	105.010
35.160	105.571
35.220	105.698
35.280	105.303
35.340	105.456
35.400	105.354
35.460	104.526
35.520	107.659
35.580	116.422
35.640	139.793
35.700	205.488
35.760	252.778
35.820	251.900
35.880	263.770
35.940	265.986
36.000	257.516
36.060	249.467
36.120	250.995
36.180	235.011
36.240	239.341
36.300	213.958
36.360	204.176
36.420	173.825
36.480	108.997
36.540	112.728
36.600	127.414
36.660	244.232
36.720	372.781
36.780	419.537
36.840	442.526
36.900	449.455
36.960	481.258
37.020	435.623
37.080	436.947
37.140	436.756
37.200	426.313
37.260	439.991
37.320	381.722
37.380	367.712
37.440	236.157
37.500	114.384
37.560	114.715
37.620	144.837
37.680	340.660
37.740	423.867
37.800	522.103
37.860	537.706
37.920	570.082
37.980	577.405
38.040	550.722
38.100	532.407
38.160	514.411
38.220	503.954
38.280	494.796
38.340	471.489
38.400	384.320
38.460	185.084
38.520	120.307
38.580	137.093
38.640	298.031
38.700	538.304
38.760	864.153
38.820	1025.817
38.880	1058.155
38.940	1127.339
39.000	1189.035
39.060	1096.899
39.120	1080.227
39.180	1102.351
39.240	1017.004
39.300	906.528
39.360	937.872
39.420	591.492
39.480	429.357
39.540	132.954
39.600	224.440
39.660	413.742
39.720	663.414
39.780	809.298
39.840	850.729
39.900	890.110
39.960	922.092
40.020	862.829
40.080	856.652
40.140	834.809
40.200	825.396
40.260	714.042
40.320	774.718
40.380	564.427
40.440	451.594
40.500	157.573
40.560	120.982
40.620	125.580
40.680	166.272
40.740	300.706
40.800	338.291
40.860	392.217
40.920	407.641
40.980	419.626
41.040	422.479
41.100	403.769
41.160	399.884
41.220	378.780
41.280	390.523
41.340	345.143
41.400	318.511
41.460	268.533
41.520	143.423
41.580	113.875
41.640	120.638
41.700	199.655
41.760	252.944
41.820	314.410
41.880	337.234
41.940	346.531
42.000	357.510
42.060	356.682
42.120	344.124
42.180	342.023
42.240	330.993
42.300	331.643
42.360	308.972
42.420	282.416
42.480	172.475
42.540	132.674
42.600	110.933
42.660	127.898
42.720	165.024
42.780	270.699
42.840	336.533
42.900	359.714
42.960	370.934
43.020	399.846
43.080	379.901
43.140	372.514
43.200	380.283
43.260	352.734
43.320	359.981
43.380	323.033
43.440	300.375
43.500	201.833
43.560	161.738
43.620	173.876
43.680	293.102
43.740	1269.618
43.800	2012.968
43.860	2283.529
43.920	2398.017
43.980	2638.201
44.040	2718.491
44.100	2374.760
44.160	2429.132
44.220	2352.115
44.280	2478.626
44.340	2238.187
44.400	2186.222
44.460	1195.811
44.520	736.738
44.580	111.506
44.640	108.793
44.700	119.504
44.760	174.742
44.820	198.954
44.880	235.877
44.940	237.991
45.000	243.774
45.060	262.827
45.120	253.785
45.180	252.422
45.240	243.277
45.300	236.743
45.360	234.451
45.420	219.613
45.480	194.012
45.540	139.615
45.600	118.205
45.660	105.430
45.720	106.946
45.780	111.149
45.840	119.861
45.900	126.497
45.960	130.598
46.020	130.445
46.080	134.138
46.140	131.540
46.200	131.769
46.260	134.037
46.320	130.878
46.380	129.260
46.440	128.649
46.500	127.019
46.560	113.531
46.620	110.207
46.680	105.341
46.740	105.991
46.800	111.289
46.860	116.613
46.920	120.268
46.980	121.033
47.040	124.306
47.100	123.707
47.160	121.033
47.220	121.071
47.280	121.784
47.340	122.179
47.400	122.306
47.460	121.364
47.520	115.021
47.580	111.442
47.640	108.971
47.700	108.041
47.760	119.950
47.820	157.943
47.880	176.347
47.940	196.623
48.000	207.118
48.060	208.965
48.120	219.358
48.180	212.684
48.240	209.755
48.300	210.442
48.360	204.596
48.420	195.324
