0000000457,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/13/2016,"Time",8:36:44 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,11.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,11.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:32,     32204,   140.0798,  7.77420e-09,  6.83700e-10,  1.52052e-09,  4.93271e-09,  1.95650e-10,  1.95650e-10,  1.95496e-09,  3.39081e-10,
00:00:32,     32767,   140.2121,  7.55186e-09,  7.81525e-10,  1.41183e-09,  4.83954e-09,  1.95650e-10,  1.95650e-10,  1.81521e-09,  1.69541e-10,
00:00:33,     33330,   140.0798,  6.66255e-09,  5.86950e-10,  1.41183e-09,  4.83954e-09,  2.93475e-10,  2.93475e-10,  1.74534e-09,  1.69541e-10,
00:00:33,     33893,   140.3443,  7.10720e-09,  6.83700e-10,  1.52052e-09,  4.65424e-09,  9.78250e-11,  1.95650e-10,  1.81521e-09,  0.00000e+00,
00:00:34,     34456,   140.2121,  7.55186e-09,  7.81525e-10,  1.62922e-09,  4.74638e-09,  9.78250e-11,  1.95650e-10,  1.74534e-09,  0.00000e+00,
00:00:35,     35019,   140.2121,  6.88489e-09,  8.79350e-10,  1.52052e-09,  4.74740e-09,  1.95650e-10,  3.91300e-10,  1.74534e-09,  3.39081e-10,
00:00:35,     35582,   140.3443,  6.88489e-09,  5.86950e-10,  1.62922e-09,  4.83954e-09,  9.78250e-11,  1.95650e-10,  1.81521e-09,  3.39081e-10,
00:00:36,     36145,   140.2121,  7.10720e-09,  6.84775e-10,  1.52052e-09,  4.74740e-09,  9.78250e-11,  2.93475e-10,  1.95496e-09,  3.39081e-10,
00:00:36,     36708,   140.3443,  7.10720e-09,  6.83700e-10,  1.73791e-09,  4.46790e-09,  1.95650e-10,  1.95650e-10,  1.74534e-09,  1.69541e-10,
00:00:37,     37271,   140.4765,  7.55186e-09,  7.81525e-10,  1.62922e-09,  4.74740e-09,  1.95650e-10,  1.95650e-10,  1.74534e-09,  1.69541e-10,
00:00:37,     37834,   140.3443,  6.88489e-09,  5.86950e-10,  1.73791e-09,  4.74740e-09,  1.95650e-10,  1.95650e-10,  1.60559e-09,  0.00000e+00,
00:00:38,     38397,   140.0798,  7.55186e-09,  6.84775e-10,  1.62922e-09,  4.65321e-09,  1.95650e-10,  1.95650e-10,  1.74534e-09,  1.69541e-10,
00:00:38,     38960,   140.2121,  7.55186e-09,  6.84775e-10,  1.41183e-09,  4.56107e-09,  1.95650e-10,  1.95650e-10,  1.60559e-09,  1.69541e-10,
00:00:39,     39523,   140.0798,  7.10720e-09,  5.86950e-10,  1.41183e-09,  4.65424e-09,  1.95650e-10,  1.95650e-10,  1.74534e-09,  1.69541e-10,
00:00:40,     40086,   140.3443,  7.10720e-09,  5.86950e-10,  1.62922e-09,  4.65424e-09,  9.78250e-11,  1.95650e-10,  1.88509e-09,  0.00000e+00,
00:00:40,     40649,   140.3443,  7.10720e-09,  7.81525e-10,  1.52052e-09,  3.90890e-09,  1.95650e-10,  1.95650e-10,  1.74534e-09,  1.69541e-10,
00:00:41,     41212,   140.4765,  7.55186e-09,  6.83700e-10,  1.62922e-09,  4.83954e-09,  9.78250e-11,  1.95650e-10,  1.74534e-09,  3.39081e-10,
00:00:41,     41775,   140.2121,  7.10720e-09,  6.84775e-10,  1.62922e-09,  4.46790e-09,  1.95650e-10,  2.93475e-10,  1.46584e-09,  0.00000e+00,
00:00:42,     42338,   140.2121,  7.10720e-09,  7.81525e-10,  1.73791e-09,  4.74740e-09,  9.78250e-11,  1.95650e-10,  1.60559e-09,  1.69541e-10,
00:00:42,     42901,   140.3443,  7.10720e-09,  6.84775e-10,  1.73791e-09,  4.65424e-09,  9.78250e-11,  1.95650e-10,  1.88509e-09,  3.39081e-10,
00:00:43,     43464,   140.6087,  6.88489e-09,  6.84775e-10,  1.52052e-09,  5.02588e-09,  3.91300e-10,  7.81525e-10,  2.09394e-09,  3.39081e-10,
00:00:44,     44027,   140.8732,  7.10720e-09,  7.81525e-10,  1.73791e-09,  5.21221e-09,  2.93475e-10,  8.79350e-10,  2.09394e-09,  6.78163e-10,
00:00:44,     44590,   141.2699,  7.10720e-09,  1.07500e-09,  2.60628e-09,  5.67805e-09,  2.93475e-10,  1.66195e-09,  2.09394e-09,  1.01724e-09,
00:00:45,     45153,   142.0632,  7.77420e-09,  1.17282e-09,  3.36594e-09,  6.04969e-09,  5.86950e-10,  2.05217e-09,  2.44332e-09,  1.52400e-09,
