0000000457,scans,0000000118,DataLength
"header",0000000026,"lines"
"Date",4/24/2016,"Time",6:01:48 PM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",7
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,8.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,8.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",16.00,16.00,0.01,10.000,8.000,0.098000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,8.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,8.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",32.00,32.00,0.01,10.000,8.000,0.860000,1.000000,
"Scan 7","RGA","SEM","mass",44.00,44.00,0.01,10.000,8.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1000,"V"
"resolution",0,"%"
"Data",7
"Time","ms","Scan 1 : none 0.40","Hydrogen","Oxygen-16","Water","Carbon monoxide","Oxygen","Carbon dioxide",
00:00:25,     25789,   174.3264,  2.24528e-09,  3.07143e-09,  6.33056e-10,  1.79473e-09,  1.65000e-10,  5.02179e-10,
00:00:26,     26293,   176.7065,  2.21597e-09,  3.29082e-09,  6.03194e-10,  1.66983e-09,  2.53750e-10,  5.65911e-10,
00:00:26,     26797,   179.0865,  2.58977e-09,  2.58878e-09,  6.36639e-10,  1.57769e-09,  2.11250e-10,  5.23679e-10,
00:00:27,     27301,   182.2600,  2.27705e-09,  2.52296e-09,  6.45000e-10,  1.80907e-09,  2.96250e-10,  5.35964e-10,
00:00:27,     27805,   185.9623,  2.37720e-09,  2.72041e-09,  5.94833e-10,  1.70464e-09,  2.25000e-10,  5.57464e-10,
00:00:28,     28309,   189.6646,  2.53845e-09,  3.37857e-09,  6.09167e-10,  1.69133e-09,  2.16250e-10,  4.47661e-10,
00:00:28,     28813,   193.7636,  2.46516e-09,  3.13724e-09,  6.06778e-10,  1.66881e-09,  1.66250e-10,  4.86054e-10,
00:00:29,     29317,   197.7304,  2.44561e-09,  2.58878e-09,  5.57806e-10,  1.77630e-09,  2.03750e-10,  4.66089e-10,
00:00:29,     29821,   201.3005,  2.43341e-09,  2.81913e-09,  5.61389e-10,  1.63911e-09,  2.11250e-10,  4.56107e-10,
00:00:30,     30325,   204.3417,  2.40652e-09,  3.04949e-09,  5.86472e-10,  1.70567e-09,  2.28750e-10,  4.83750e-10,
00:00:30,     30829,   207.2507,  2.57511e-09,  2.63265e-09,  5.82889e-10,  1.64321e-09,  1.83750e-10,  4.80679e-10,
00:00:31,     31333,   210.0275,  2.60686e-09,  2.55587e-09,  5.59000e-10,  1.47224e-09,  2.00000e-10,  4.65321e-10,
00:00:31,     31837,   212.2753,  2.45784e-09,  2.86301e-09,  5.98417e-10,  1.62273e-09,  2.12500e-10,  4.62250e-10,
