Mon, Oct 23, 2017	10:13 AM
 x = amu	 y = amps
3.120	1.537
3.180	1.547
3.240	1.461
3.300	1.532
3.360	1.555
3.420	1.594
3.480	1.546
3.540	1.487
3.600	1.484
3.660	1.545
3.720	1.583
3.780	1.526
3.840	1.612
3.900	1.475
3.960	1.560
4.020	1.520
4.080	1.443
4.140	1.513
4.200	1.516
4.260	1.589
4.320	1.558
4.380	1.585
4.440	1.513
4.500	1.466
4.560	1.560
4.620	1.511
4.680	1.459
4.740	1.533
4.800	1.490
4.860	1.551
4.920	1.622
4.980	1.542
5.040	1.585
5.100	1.541
5.160	1.566
5.220	1.577
5.280	1.507
5.340	1.416
5.400	1.527
5.460	1.546
5.520	1.479
5.580	1.527
5.640	1.526
5.700	1.602
5.760	1.543
5.820	1.581
5.880	1.562
5.940	1.581
6.000	1.546
6.060	1.595
6.120	1.540
6.180	1.436
6.240	1.577
6.300	1.475
6.360	1.510
6.420	1.444
6.480	1.557
6.540	1.517
6.600	1.529
6.660	1.586
6.720	1.530
6.780	1.583
6.840	1.524
6.900	1.499
6.960	1.424
7.020	1.489
7.080	1.504
7.140	1.572
7.200	1.554
7.260	1.537
7.320	1.522
7.380	1.420
7.440	1.478
7.500	1.528
7.560	1.546
7.620	1.611
7.680	1.487
7.740	1.497
7.800	1.611
7.860	1.587
7.920	1.493
7.980	1.596
8.040	1.503
8.100	1.477
8.160	1.535
8.220	1.604
8.280	1.583
8.340	1.517
8.400	1.592
8.460	1.547
8.520	1.534
8.580	1.469
8.640	1.554
8.700	1.473
8.760	1.519
8.820	1.572
8.880	1.531
8.940	1.596
9.000	1.594
9.060	1.496
9.120	1.586
9.180	1.518
9.240	1.608
9.300	1.537
9.360	1.526
9.420	1.412
9.480	1.528
9.540	1.537
9.600	1.543
9.660	1.553
9.720	1.619
9.780	1.544
9.840	1.486
9.900	1.467
9.960	1.568
10.020	1.489
10.080	1.548
10.140	1.544
10.200	1.660
10.260	1.568
10.320	1.499
10.380	1.570
10.440	1.540
10.500	1.452
10.560	1.537
10.620	1.483
10.680	1.569
10.740	1.583
10.800	1.567
10.860	1.508
10.920	1.467
10.980	1.540
11.040	1.582
11.100	1.537
11.160	1.568
11.220	1.543
11.280	1.573
11.340	1.542
11.400	1.537
11.460	1.465
11.520	1.485
11.580	1.498
11.640	1.540
11.700	1.573
11.760	1.535
11.820	1.535
11.880	1.619
11.940	1.533
12.000	1.577
12.060	1.532
12.120	1.584
12.180	0.921
12.240	1.823
12.300	725.476
12.360	1043.981
12.420	1043.981
12.480	95.770
12.540	89.259
12.600	83.257
12.660	46.129
12.720	14.127
12.780	9.782
12.840	7.780
12.900	5.763
12.960	4.278
13.020	3.055
13.080	2.345
13.140	1.844
13.200	1.454
13.260	1.349
13.320	1.226
13.380	1.143
13.440	1.016
13.500	0.948
13.560	0.956
13.620	0.902
13.680	0.873
13.740	0.786
13.800	0.849
13.860	0.908
13.920	0.866
13.980	0.960
14.040	0.920
14.100	0.850
14.160	0.860
14.220	0.866
14.280	0.853
14.340	0.850
14.400	0.880
14.460	0.889
14.520	0.962
14.580	0.942
14.640	1.478
14.700	4.158
14.760	4.510
14.820	3.675
14.880	3.352
14.940	3.283
15.000	3.759
15.060	2.834
15.120	2.610
15.180	1.559
15.240	1.534
15.300	1.510
15.360	2.254
15.420	3.682
15.480	4.563
15.540	9.775
15.600	9.700
15.660	10.436
15.720	10.703
15.780	12.700
15.840	10.291
15.900	11.447
15.960	10.416
16.020	9.572
16.080	7.359
16.140	7.137
16.200	1.851
16.260	1.832
16.320	2.517
16.380	3.566
16.440	5.730
16.500	11.675
16.560	14.263
16.620	16.466
16.680	16.374
16.740	17.593
16.800	21.553
16.860	19.109
16.920	17.327
16.980	18.329
17.040	18.509
17.100	15.133
17.160	7.030
17.220	2.332
17.280	2.463
17.340	5.401
17.400	7.414
17.460	17.169
17.520	30.382
17.580	36.622
17.640	39.243
17.700	41.014
17.760	43.342
17.820	45.790
17.880	48.686
17.940	44.169
18.000	43.567
18.060	44.325
18.120	30.007
18.180	5.143
18.240	2.797
18.300	2.517
18.360	2.930
18.420	2.915
18.480	3.696
18.540	4.245
18.600	4.477
18.660	6.554
18.720	5.395
18.780	6.539
18.840	7.455
18.900	6.629
18.960	7.447
19.020	5.459
19.080	7.007
19.140	3.770
19.200	2.769
19.260	1.887
19.320	2.008
19.380	3.185
19.440	7.406
19.500	11.141
19.560	16.430
19.620	18.770
19.680	21.278
19.740	23.079
19.800	21.779
19.860	28.442
19.920	21.891
19.980	24.332
20.040	25.136
20.100	20.982
20.160	19.441
20.220	7.217
20.280	1.935
20.340	2.073
20.400	1.756
20.460	2.145
20.520	2.877
20.580	2.968
20.640	3.247
20.700	2.829
20.760	2.815
20.820	2.424
20.880	2.372
20.940	2.453
21.000	2.186
21.060	2.637
21.120	2.461
21.180	2.511
21.240	1.777
21.300	1.589
21.360	2.009
21.420	1.982
21.480	3.661
21.540	5.045
21.600	5.309
21.660	5.503
21.720	5.714
21.780	5.696
21.840	6.322
21.900	5.900
21.960	6.427
22.020	5.130
22.080	6.373
22.140	4.247
22.200	4.010
22.260	3.006
22.320	1.912
22.380	1.780
22.440	1.713
22.500	1.604
22.560	1.755
22.620	2.053
22.680	1.688
22.740	1.619
22.800	1.814
22.860	1.719
22.920	1.530
22.980	1.768
23.040	1.865
23.100	1.861
23.160	1.631
23.220	1.896
23.280	1.956
23.340	1.936
23.400	2.240
23.460	4.684
23.520	12.000
23.580	25.980
23.640	31.063
23.700	31.146
23.760	31.691
23.820	33.429
23.880	30.343
23.940	30.644
24.000	31.308
24.060	27.084
24.120	29.409
24.180	26.856
24.240	19.261
24.300	8.565
24.360	2.302
24.420	3.480
24.480	4.526
24.540	16.481
24.600	44.673
24.660	52.027
24.720	57.290
24.780	58.416
24.840	62.628
24.900	59.174
24.960	55.903
25.020	57.149
25.080	53.836
25.140	53.134
25.200	41.894
25.260	35.343
25.320	25.962
25.380	4.365
25.440	6.468
25.500	9.784
25.560	49.677
25.620	103.229
25.680	159.499
25.740	185.592
25.800	185.715
25.860	214.396
25.920	192.631
25.980	188.717
26.040	195.504
26.100	158.991
26.160	162.547
26.220	130.583
26.280	142.110
26.340	71.639
26.400	7.381
26.460	6.894
26.520	19.438
26.580	46.745
26.640	179.612
26.700	251.967
26.760	254.028
26.820	281.312
26.880	288.153
26.940	283.838
27.000	265.585
27.060	259.803
27.120	253.358
27.180	262.306
27.240	249.321
27.300	240.129
27.360	169.512
27.420	152.243
27.480	194.874
27.540	884.997
27.600	1043.981
27.660	1043.981
27.720	1043.981
27.780	1043.981
27.840	1043.981
27.900	1043.981
27.960	1043.981
28.020	1043.981
28.080	1043.981
28.140	1043.981
28.200	1043.981
28.260	1043.981
28.320	1043.981
28.380	1043.981
28.440	1043.981
28.500	291.809
28.560	35.930
28.620	175.000
28.680	310.865
28.740	512.762
28.800	590.263
28.860	609.036
28.920	645.025
28.980	617.552
29.040	594.405
29.100	586.224
29.160	547.473
29.220	581.365
29.280	430.088
29.340	479.287
29.400	223.377
29.460	12.748
29.520	12.247
29.580	48.423
29.640	121.779
29.700	368.961
29.760	488.543
29.820	513.652
29.880	534.751
29.940	556.384
30.000	514.075
30.060	512.675
30.120	453.471
30.180	447.479
30.240	443.814
30.300	392.443
30.360	303.261
30.420	111.517
30.480	6.401
30.540	5.154
30.600	18.646
30.660	40.168
30.720	66.628
30.780	68.311
30.840	70.450
30.900	73.553
30.960	73.605
31.020	66.787
31.080	70.082
31.140	66.618
31.200	65.703
31.260	62.559
31.320	53.826
31.380	27.979
31.440	15.707
31.500	7.543
31.560	34.936
31.620	72.395
31.680	137.017
31.740	156.576
31.800	166.044
31.860	175.980
31.920	177.517
31.980	162.609
32.040	166.819
32.100	159.714
32.160	151.792
32.220	156.746
32.280	126.730
32.340	76.677
32.400	49.829
32.460	2.584
32.520	1.754
32.580	2.181
32.640	2.984
32.700	3.845
32.760	4.005
32.820	4.698
32.880	4.003
32.940	4.436
33.000	3.317
33.060	3.837
33.120	3.521
33.180	3.451
33.240	3.584
33.300	3.654
33.360	2.826
33.420	2.305
33.480	1.514
33.540	1.721
