Tue, Oct 10, 2017	2:59 PM
 x = amu	 y = amps

33.720	105.571
33.780	106.067
33.840	106.080
33.900	106.475
33.960	106.271
34.020	105.762
34.080	107.035
34.140	106.080
34.200	106.207
34.260	105.902
34.320	105.953
34.380	105.583
34.440	103.991
34.500	104.755
34.560	104.068
34.620	103.724
34.680	104.475
34.740	104.373
34.800	105.048
34.860	104.615
34.920	104.322
34.980	105.150
35.040	104.590
35.100	105.239
35.160	104.195
35.220	104.743
35.280	104.093
35.340	104.577
35.400	104.233
35.460	104.119
35.520	105.138
35.580	106.921
35.640	109.455
35.700	111.124
35.760	113.327
35.820	113.556
35.880	114.180
35.940	114.957
36.000	114.270
36.060	115.683
36.120	115.034
36.180	114.703
36.240	115.034
36.300	113.696
36.360	111.697
36.420	109.672
36.480	107.405
36.540	107.990
36.600	109.557
36.660	113.174
36.720	117.186
36.780	119.351
36.840	120.587
36.900	122.306
36.960	123.580
37.020	122.077
37.080	121.924
37.140	121.810
37.200	120.969
37.260	119.173
37.320	117.530
37.380	116.104
37.440	112.181
37.500	108.946
37.560	107.799
37.620	110.971
37.680	118.141
37.740	122.688
37.800	126.318
37.860	129.197
37.920	130.891
37.980	130.687
38.040	131.234
38.100	130.126
38.160	129.744
38.220	129.184
38.280	128.878
38.340	125.274
38.400	120.307
38.460	114.639
38.520	110.258
38.580	113.454
38.640	121.873
38.700	132.585
38.760	140.749
38.820	148.505
38.880	152.084
38.940	155.154
39.000	156.211
39.060	155.829
39.120	154.428
39.180	153.969
39.240	152.428
39.300	149.129
39.360	145.907
39.420	138.545
39.480	129.655
39.540	147.524
39.600	197.107
39.660	252.677
39.720	292.223
39.780	326.968
39.840	350.875
39.900	362.299
39.960	365.037
40.020	365.318
40.080	360.987
40.140	355.689
40.200	342.710
40.260	326.930
40.320	308.564
40.380	264.751
40.440	213.346
40.500	167.189
40.560	142.201
40.620	131.757
40.680	137.857
40.740	151.931
40.800	161.611
40.860	168.017
40.920	174.271
40.980	177.353
41.040	177.328
41.100	177.277
41.160	176.653
41.220	174.589
41.280	171.927
41.340	167.279
41.400	155.536
41.460	141.908
41.520	128.929
41.580	119.721
41.640	124.841
41.700	140.150
41.760	155.434
41.820	166.846
41.880	175.990
41.940	182.843
42.000	182.830
42.060	182.473
42.120	182.040
42.180	181.543
42.240	181.378
42.300	177.468
42.360	168.501
42.420	155.892
42.480	140.736
42.540	124.968
42.600	119.759
42.660	124.038
42.720	133.018
42.780	142.850
42.840	149.308
42.900	153.396
42.960	158.847
43.020	161.025
43.080	161.458
43.140	160.452
43.200	159.981
43.260	158.809
43.320	157.688
43.380	153.638
43.440	148.148
43.500	146.149
43.560	164.922
43.620	325.835
43.680	544.609
43.740	805.133
43.800	1034.402
43.860	1188.194
43.920	1301.689
43.980	1373.510
44.040	1375.726
44.100	1382.756
44.160	1379.126
44.220	1376.324
44.280	1307.840
44.340	1242.693
44.400	1079.985
44.460	809.794
44.520	535.961
44.580	347.117
44.640	239.940
44.700	182.193
44.760	155.230
44.820	142.876
44.880	135.883
44.940	133.680
45.000	131.515
45.060	130.254
45.120	129.324
45.180	129.108
45.240	128.190
