Wed, Oct 18, 2017	9:56 AM
 x = amu	 y = amps
32.880	126.828
32.940	121.682
33.000	120.880
33.060	123.669
33.120	119.097
33.180	120.803
33.240	118.689
33.300	117.123
33.360	111.595
33.420	100.616
33.480	99.967
33.540	104.666
33.600	108.640
33.660	112.894
33.720	114.333
33.780	111.913
33.840	113.709
33.900	113.633
33.960	111.455
34.020	113.544
34.080	109.863
34.140	111.646
34.200	108.118
34.260	107.481
34.320	104.552
34.380	98.464
34.440	96.566
34.500	97.903
34.560	98.999
34.620	100.756
34.680	100.756
34.740	101.215
34.800	102.119
34.860	101.215
34.920	100.629
34.980	100.820
35.040	102.234
35.100	100.692
35.160	100.068
35.220	100.387
35.280	100.400
35.340	99.928
35.400	101.342
35.460	105.532
35.520	151.129
35.580	303.953
35.640	385.645
35.700	453.390
35.760	465.312
35.820	481.780
35.880	490.963
35.940	468.992
36.000	445.583
36.060	440.959
36.120	411.653
36.180	449.225
36.240	373.864
36.300	364.273
36.360	248.155
36.420	155.778
36.480	158.796
36.540	481.614
36.600	734.611
36.660	1081.730
36.720	1188.411
36.780	1210.368
36.840	1316.629
36.900	1328.422
36.960	1200.345
37.020	1204.204
37.080	1227.219
37.140	1121.175
37.200	988.627
37.260	1005.426
37.320	774.107
37.380	543.259
37.440	150.314
37.500	214.505
37.560	341.946
37.620	1117.074
37.680	1584.667
37.740	1708.784
37.800	1802.562
37.860	1875.135
37.920	1932.054
37.980	1718.553
38.040	1770.314
38.100	1678.038
38.160	1765.869
38.220	1571.116
38.280	1499.868
38.340	833.510
38.400	545.500
38.460	199.260
38.520	290.351
38.580	1197.313
38.640	2741.926
38.700	3456.658
38.760	3934.071
38.820	4171.223
38.880	4450.152
38.940	4270.237
39.000	4031.670
39.060	4157.888
39.120	3784.583
39.180	3727.371
39.240	3675.100
39.300	3493.262
39.360	2721.688
39.420	1092.225
39.480	279.156
39.540	377.761
39.600	771.993
39.660	950.430
39.720	1109.419
39.780	1183.469
39.840	1209.082
39.900	1240.936
39.960	1191.124
40.020	1165.944
40.080	1137.580
40.140	1147.119
40.200	1115.686
40.260	980.233
40.320	948.048
40.380	532.063
40.440	367.967
40.500	213.932
40.560	296.541
40.620	395.197
40.680	768.286
40.740	983.902
40.800	1016.863
40.860	1085.437
40.920	1106.846
40.980	1052.271
41.040	993.008
41.100	995.517
41.160	927.568
41.220	983.125
41.280	849.812
41.340	779.978
41.400	447.608
41.460	319.454
41.520	125.732
41.580	158.873
41.640	410.507
41.700	651.442
41.760	718.627
41.820	778.042
41.880	838.553
41.940	847.902
42.000	766.605
42.060	759.995
42.120	770.375
42.180	747.781
42.240	779.176
42.300	669.235
42.360	504.400
42.420	378.156
42.480	142.990
42.540	139.984
42.600	345.563
42.660	907.725
42.720	1090.225
42.780	1361.397
42.840	1455.469
42.900	1486.979
42.960	1620.393
43.020	1542.344
43.080	1421.883
43.140	1431.881
43.200	1305.701
43.260	1408.433
43.320	1298.772
43.380	1068.395
43.440	581.060
43.500	193.337
43.560	250.995
43.620	1150.494
43.680	1642.834
43.740	2504.328
43.800	2797.381
43.860	2818.574
43.920	3185.957
43.980	2947.340
44.040	2765.782
44.100	2967.094
44.160	2715.842
44.220	2867.431
44.280	2271.569
44.340	2501.933
44.400	1517.852
44.460	585.582
44.520	201.565
44.580	147.028
44.640	228.477
44.700	594.892
44.760	850.245
44.820	886.748
44.880	959.346
44.940	1053.519
45.000	1035.854
45.060	943.310
45.120	943.667
45.180	947.679
45.240	959.129
45.300	911.138
45.360	851.417
45.420	502.082
45.480	362.656
45.540	110.207
45.600	98.897
45.660	106.640
45.720	127.948
45.780	133.922
45.840	146.773
45.900	151.498
45.960	153.702
46.020	152.339
46.080	151.269
46.140	151.358
46.200	151.626
46.260	145.830
46.320	152.543
46.380	143.933
46.440	137.514
46.500	115.327
46.560	100.578
46.620	98.515
46.680	107.634
46.740	116.447
46.800	129.490
46.860	133.514
46.920	138.189
46.980	141.946
47.040	141.143
47.100	139.908
47.160	140.061
47.220	139.883
47.280	143.118
47.340	138.036
47.400	136.253
47.460	130.381
47.520	115.721
47.580	111.022
47.640	117.899
47.700	142.086
47.760	230.006
47.820	305.469
47.880	319.594
47.940	332.852
48.000	355.345
48.060	354.262
48.120	321.224
48.180	324.268
48.240	324.688
48.300	322.179
48.360	314.958
48.420	291.459
48.480	229.611
48.540	179.569
48.600	118.549
48.660	118.511
48.720	148.161
48.780	381.633
48.840	473.616
48.900	602.585
48.960	653.645
49.020	685.283
49.080	737.935
49.140	680.914
49.200	666.688
49.260	695.727
49.320	626.135
49.380	674.406
49.440	638.464
49.500	507.011
49.560	316.537
49.620	161.318
49.680	133.807
49.740	266.725
49.800	534.470
49.860	1356.914
49.920	1931.099
49.980	2072.473
50.040	2338.512
50.100	2555.707
50.160	2457.356
50.220	2334.067
50.280	2416.103
50.340	2190.005
50.400	2416.574
50.460	2062.704
50.520	2034.990
50.580	997.160
50.640	628.274
50.700	163.101
50.760	172.577
50.820	598.115
50.880	1709.293
50.940	2067.277
51.000	2547.288
51.060	2812.868
51.120	3046.862
51.180	3080.856
51.240	2935.075
51.300	3005.571
51.360	2736.704
51.420	2844.124
51.480	2504.735
51.540	2375.499
51.600	1954.037
51.660	686.047
51.720	146.722
51.780	183.467
51.840	613.704
51.900	1076.699
51.960	1929.927
52.020	2335.392
52.080	2449.447
52.140	2765.578
52.200	2912.378
52.260	2818.638
52.320	2792.617
52.380	2812.996
52.440	2646.301
52.500	2326.234
52.560	2354.726
52.620	1814.293
52.680	764.160
52.740	526.026
52.800	211.793
52.860	354.135
52.920	1703.243
52.980	3672.197
53.040	4397.283
53.100	5414.887
53.160	6095.917
53.220	6472.623
53.280	6289.371
53.340	6135.133
53.400	6290.186
53.460	5814.760
53.520	6221.550
53.580	5163.597
53.640	4180.292
53.700	2739.290
53.760	1123.073
53.820	127.439
53.880	129.910
53.940	278.417
54.000	375.099
54.060	524.523
54.120	602.254
54.180	632.783
