0000000723,scans,0000000104,DataLength
"header",0000000025,"lines"
"Date",6/9/2016,"Time",2:04:36 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",6
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,11.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",18.00,18.00,0.01,11.000,10.000,0.900000,1.000000,
"Scan 4","RGA","SEM","mass",28.00,28.00,0.01,11.000,10.000,1.050000,1.000000,
"Scan 5","RGA","SEM","mass",32.00,32.00,0.01,11.000,10.000,0.860000,1.000000,
"Scan 6","RGA","SEM","mass",44.00,44.00,0.01,11.000,10.000,1.400000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",6
"Time","ms","Temperature","Hydrogen","Water","Carbon monoxide","Oxygen","Carbon dioxide",
00:00:28,     28628,   120.5103,  6.88489e-09,  2.93236e-09,  5.58488e-09,  2.15874e-09,  2.58307e-09,
00:00:29,     29043,   120.3781,  7.55186e-09,  2.38889e-09,  5.49171e-09,  2.84124e-09,  2.86180e-09,
00:00:29,     29458,   120.3781,  6.88489e-09,  2.60628e-09,  5.67702e-09,  3.06874e-09,  2.51319e-09,
00:00:29,     29873,   119.9814,  6.22034e-09,  2.71497e-09,  5.49171e-09,  3.06874e-09,  2.51319e-09,
00:00:30,     30288,   120.2459,  6.66255e-09,  2.60628e-09,  5.30538e-09,  3.52250e-09,  2.72282e-09,
00:00:30,     30703,   120.2459,  6.44266e-09,  2.71497e-09,  5.30538e-09,  2.84124e-09,  2.58307e-09,
00:00:31,     31118,   120.3781,  6.44266e-09,  2.60628e-09,  5.21221e-09,  2.72750e-09,  2.44332e-09,
00:00:31,     31533,   120.2459,  6.88489e-09,  2.71497e-09,  5.39854e-09,  2.95500e-09,  2.58307e-09,
00:00:31,     31948,   120.5103,  6.88489e-09,  2.28019e-09,  5.02588e-09,  3.18250e-09,  2.51319e-09,
00:00:32,     32363,   120.2459,  5.99800e-09,  2.71497e-09,  5.11905e-09,  3.18250e-09,  2.58307e-09,
00:00:32,     32778,   120.2459,  6.22034e-09,  2.49758e-09,  5.39854e-09,  3.18250e-09,  2.51319e-09,
00:00:33,     33193,   120.5103,  6.44266e-09,  2.60628e-09,  4.93271e-09,  3.18250e-09,  2.58307e-09,
00:00:33,     33608,   120.3781,  5.77568e-09,  2.28019e-09,  5.49171e-09,  2.61374e-09,  2.51319e-09,
00:00:34,     34023,   120.3781,  6.66255e-09,  2.71497e-09,  4.83954e-09,  2.61374e-09,  2.72282e-09,
00:00:34,     34438,   120.6426,  6.66255e-09,  2.71497e-09,  5.02588e-09,  2.72750e-09,  2.65294e-09,
00:00:34,     34853,   120.3781,  5.99800e-09,  2.60628e-09,  5.11905e-09,  2.72750e-09,  2.37344e-09,
00:00:35,     35268,   120.3781,  6.44023e-09,  2.71497e-09,  5.21221e-09,  2.95500e-09,  2.44332e-09,
00:00:35,     35683,   120.3781,  6.22034e-09,  2.28019e-09,  5.02588e-09,  2.95500e-09,  2.44332e-09,
00:00:36,     36098,   120.2459,  5.77568e-09,  2.82367e-09,  4.93271e-09,  2.84124e-09,  2.23369e-09,
00:00:36,     36513,   120.2459,  6.44023e-09,  2.60628e-09,  5.11905e-09,  2.61374e-09,  2.30357e-09,
00:00:36,     36928,   120.2459,  6.44266e-09,  2.71497e-09,  4.93271e-09,  2.95500e-09,  2.65294e-09,
00:00:37,     37343,   120.2459,  5.99800e-09,  2.82367e-09,  5.02588e-09,  2.61374e-09,  2.37344e-09,
00:00:37,     37758,   120.3781,  6.66255e-09,  2.38889e-09,  5.11905e-09,  2.61374e-09,  2.37344e-09,
00:00:38,     38173,   120.6426,  6.44023e-09,  2.38889e-09,  5.02588e-09,  2.72750e-09,  2.37344e-09,
00:00:38,     38588,   120.6426,  5.55334e-09,  2.49758e-09,  4.83954e-09,  2.72750e-09,  2.51319e-09,
00:00:39,     39003,   120.5103,  5.77568e-09,  2.60628e-09,  5.21221e-09,  2.72750e-09,  2.37344e-09,
00:00:39,     39418,   120.5103,  6.88489e-09,  2.60628e-09,  4.83954e-09,  2.84124e-09,  2.51319e-09,
00:00:39,     39833,   119.9814,  6.22034e-09,  2.38889e-09,  4.65321e-09,  2.50000e-09,  2.37344e-09,
00:00:40,     40248,   120.5103,  5.99800e-09,  2.49758e-09,  4.65424e-09,  2.72750e-09,  2.23369e-09,
00:00:40,     40663,   120.3781,  6.44023e-09,  2.60628e-09,  4.83954e-09,  2.61374e-09,  2.37344e-09,
00:00:41,     41078,   120.3781,  6.44023e-09,  2.38889e-09,  4.56107e-09,  2.72750e-09,  2.44332e-09,
00:00:41,     41493,   120.2459,  5.77568e-09,  2.49758e-09,  4.74638e-09,  2.50000e-09,  2.44332e-09,
00:00:41,     41908,   120.5103,  6.22034e-09,  2.38889e-09,  4.74740e-09,  2.61374e-09,  2.37344e-09,
00:00:42,     42323,   120.5103,  6.44023e-09,  2.71497e-09,  4.74638e-09,  2.72750e-09,  2.30357e-09,
00:00:42,     42738,   120.5103,  5.99800e-09,  2.49758e-09,  4.74638e-09,  2.61374e-09,  2.30357e-09,
00:00:43,     43153,   120.3781,  6.21789e-09,  2.60628e-09,  4.93271e-09,  2.84124e-09,  2.30357e-09,
00:00:43,     43568,   120.2459,  6.66255e-09,  2.38889e-09,  4.56107e-09,  2.50000e-09,  2.37344e-09,
00:00:43,     43983,   120.1137,  5.77568e-09,  2.71497e-09,  4.46790e-09,  2.50000e-09,  2.23369e-09,
00:00:44,     44398,   120.5103,  6.21789e-09,  2.49758e-09,  4.93271e-09,  2.72750e-09,  2.44332e-09,
00:00:44,     44813,   120.3781,  6.66255e-09,  2.38889e-09,  4.83954e-09,  2.95500e-09,  2.16382e-09,
00:00:45,     45228,   120.2459,  6.22034e-09,  2.49758e-09,  4.93271e-09,  2.50000e-09,  2.23369e-09,
00:00:45,     45643,   120.2459,  5.77568e-09,  2.38889e-09,  4.93271e-09,  2.61374e-09,  2.09394e-09,
00:00:46,     46058,   120.3781,  5.55334e-09,  2.49758e-09,  4.56107e-09,  2.61374e-09,  2.23369e-09,
00:00:46,     46473,   120.2459,  5.99800e-09,  2.28019e-09,  4.37473e-09,  2.61374e-09,  2.37344e-09,
00:00:46,     46888,   120.2459,  5.99800e-09,  2.17150e-09,  4.65424e-09,  2.61374e-09,  2.23369e-09,
00:00:47,     47303,   120.1137,  5.77568e-09,  2.60628e-09,  4.65424e-09,  2.61374e-09,  2.30357e-09,
00:00:47,     47718,   120.1137,  5.77568e-09,  2.71497e-09,  4.74638e-09,  2.38624e-09,  2.23369e-09,
00:00:48,     48133,   120.2459,  6.44266e-09,  2.49758e-09,  4.65424e-09,  2.50000e-09,  2.16382e-09,
00:00:48,     48548,   120.1137,  5.77568e-09,  2.49758e-09,  4.74740e-09,  2.61374e-09,  2.16382e-09,
00:00:48,     48963,   120.3781,  5.99800e-09,  2.71497e-09,  4.65321e-09,  2.38624e-09,  2.30357e-09,
00:00:49,     49378,   120.1137,  6.22034e-09,  2.49758e-09,  4.65321e-09,  2.50000e-09,  2.23369e-09,
