0000000614,scans,0000000146,DataLength
"header",0000000028,"lines"
"Date",5/9/2016,"Time",5:03:55 AM
"ID","HAL RC RGA 301 #14852","Version",3
"Scans",9
"Scan ID","Mode","Input","Scanned","Start","Stop","Increment","Dwell","Settle","RS","RelSEM"
"Scan 1","RGA","Temperature","none",0.40,0.40,0.01,10.000,10.000,1.000000,1.000000,
"Scan 2","RGA","SEM","mass",2.00,2.00,0.01,10.000,10.000,0.440000,1.000000,
"Scan 3","RGA","SEM","mass",14.00,14.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 4","RGA","SEM","mass",18.00,18.00,0.01,10.000,10.000,0.900000,1.000000,
"Scan 5","RGA","SEM","mass",28.00,28.00,0.01,10.000,10.000,1.050000,1.000000,
"Scan 6","RGA","SEM","mass",29.00,29.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 7","RGA","SEM","mass",43.00,43.00,0.01,10.000,10.000,1.000000,1.000000,
"Scan 8","RGA","SEM","mass",44.00,44.00,0.01,10.000,10.000,1.400000,1.000000,
"Scan 9","RGA","SEM","mass",60.00,60.00,0.01,10.000,10.000,0.577000,1.000000,
"Environment",
"Global","RGA"
"F1",1,"( 1 = on, 0 = off )"
"F2",0,"( 1 = on, 0 = off )"
"cage",3.3,"V"
"delta-m",0,"%"
"electron-energy",70.0,"V"
"emission",1000.000,"uA"
"focus",-90,"V"
"mass",5.50,"amu"
"mode-change-delay",1000,"ms"
"multiplier",1100,"V"
"resolution",0,"%"
"Data",9
"Time","ms","Temperature","Hydrogen","Ketene","Water","Carbon monoxide","Acetaldehyde","Acetic acid","Carbon dioxide","Acetic acid",
00:00:20,     20428,   170.4918,  1.05057e-08,  8.17000e-09,  6.68889e-09,  2.58000e-08,  1.61250e-09,  3.33250e-09,  2.81036e-08,  2.79463e-09,
00:00:20,     20933,   170.4918,  1.07500e-08,  8.06250e-09,  6.56944e-09,  2.53905e-08,  1.61250e-09,  3.44000e-09,  2.68750e-08,  2.79463e-09,
00:00:21,     21438,   170.4918,  1.02614e-08,  7.84750e-09,  6.56944e-09,  2.48786e-08,  1.72000e-09,  3.54750e-09,  2.69518e-08,  2.98094e-09,
00:00:21,     21943,   170.6241,  1.05057e-08,  8.27750e-09,  7.04722e-09,  2.48786e-08,  1.82750e-09,  3.33250e-09,  2.67982e-08,  2.98094e-09,
00:00:22,     22448,   170.6241,  1.02614e-08,  8.17000e-09,  6.56944e-09,  2.47762e-08,  1.61250e-09,  3.76250e-09,  2.61839e-08,  2.60832e-09,
00:00:22,     22953,   170.4918,  9.77273e-09,  8.27750e-09,  6.92778e-09,  2.44690e-08,  1.50500e-09,  3.44000e-09,  2.54929e-08,  2.98094e-09,
00:00:23,     23458,   170.3596,  1.00170e-08,  7.52500e-09,  6.92778e-09,  2.40595e-08,  1.72000e-09,  3.76250e-09,  2.56464e-08,  2.79463e-09,
00:00:23,     23963,   170.4918,  1.05057e-08,  7.41750e-09,  6.56944e-09,  2.43667e-08,  1.50500e-09,  3.65500e-09,  2.51857e-08,  2.60832e-09,
00:00:24,     24468,   170.4918,  1.07500e-08,  7.52500e-09,  6.92778e-09,  2.39571e-08,  1.50500e-09,  3.65500e-09,  2.49554e-08,  2.98094e-09,
00:00:24,     24973,   170.3596,  1.09943e-08,  7.95500e-09,  6.92778e-09,  2.34452e-08,  1.82750e-09,  3.76250e-09,  2.54161e-08,  2.98094e-09,
