Tue, Oct 24, 2017	12:57 PM
 x = amu	 y = amps
32.760	111.034
32.820	111.124
32.880	112.627
32.940	111.926
33.000	110.512
33.060	111.531
33.120	111.175
33.180	111.098
33.240	109.264
33.300	109.710
33.360	108.385
33.420	105.940
33.480	104.055
33.540	105.010
33.600	107.685
33.660	110.805
33.720	111.289
33.780	110.742
33.840	110.640
33.900	111.582
33.960	110.792
34.020	111.391
34.080	110.691
34.140	110.996
34.200	112.155
34.260	110.945
34.320	108.691
34.380	107.698
34.440	104.233
34.500	104.501
34.560	105.138
34.620	105.341
34.680	105.036
34.740	106.055
34.800	105.367
34.860	105.927
34.920	106.131
34.980	105.507
35.040	106.246
35.100	105.953
35.160	105.227
35.220	105.736
35.280	105.685
35.340	105.265
35.400	105.456
35.460	103.915
35.520	105.723
35.580	108.347
35.640	113.212
35.700	120.370
35.760	125.669
35.820	125.541
35.880	126.840
35.940	127.656
36.000	125.223
36.060	126.038
36.120	125.898
36.180	122.523
36.240	121.899
36.300	120.892
36.360	116.830
36.420	111.531
36.480	105.163
36.540	106.284
36.600	109.137
36.660	127.426
36.720	140.952
36.780	143.296
36.840	143.971
36.900	145.881
36.960	149.575
37.020	142.060
37.080	142.010
37.140	144.850
37.200	141.933
37.260	138.978
37.320	135.871
37.380	130.190
37.440	115.008
37.500	105.074
37.560	106.488
37.620	115.199
37.680	140.863
37.740	149.142
37.800	157.943
37.860	161.343
37.920	165.419
37.980	163.598
38.040	156.580
38.100	163.954
38.160	156.453
38.220	160.592
38.280	148.390
38.340	147.117
38.400	133.731
38.460	113.021
38.520	106.615
38.580	108.933
38.640	137.093
38.700	173.048
38.760	210.506
38.820	225.586
38.880	226.923
38.940	243.290
39.000	239.876
39.060	226.529
39.120	236.170
39.180	226.809
39.240	225.306
39.300	204.507
39.360	215.524
39.420	164.413
39.480	139.844
39.540	136.979
39.600	344.659
39.660	486.021
39.720	659.160
39.780	752.913
39.840	739.489
39.900	804.751
39.960	821.435
40.020	746.125
40.080	745.310
40.140	708.094
40.200	756.416
40.260	622.225
40.320	629.039
40.380	413.079
40.440	298.604
40.500	117.989
40.560	107.876
40.620	111.926
40.680	154.173
40.740	227.140
40.800	252.766
40.860	278.799
40.920	288.937
40.980	298.082
41.040	292.402
41.100	281.576
41.160	289.307
41.220	269.654
41.280	278.684
41.340	252.002
41.400	217.740
41.460	180.767
41.520	120.370
41.580	109.341
41.640	122.383
41.700	205.450
41.760	238.463
41.820	287.447
41.880	294.885
41.940	317.874
42.000	307.392
42.060	298.897
42.120	305.125
42.180	295.178
42.240	283.346
42.300	284.034
42.360	261.796
42.420	246.321
42.480	151.422
42.540	117.123
42.600	110.461
42.660	139.730
42.720	182.588
42.780	252.473
42.840	291.344
42.900	294.134
42.960	310.780
43.020	322.421
43.080	307.048
43.140	305.469
43.200	307.431
43.260	292.975
43.320	279.449
43.380	275.042
43.440	235.240
43.500	157.395
43.560	142.328
43.620	237.546
43.680	485.473
43.740	1407.287
43.800	2047.955
43.860	2217.121
43.920	2328.603
43.980	2625.515
