Wed, Oct 25, 2017	1:06 PM
 x = amu	 y = amps

25.080	62.213
25.140	65.136
25.200	52.986
25.260	41.417
25.320	26.454
25.380	9.787
25.440	28.971
25.500	64.986
25.560	262.187
25.620	331.340
25.680	398.748
25.740	423.882
25.800	445.580
25.860	445.191
25.920	414.689
25.980	394.303
26.040	400.968
26.100	370.777
26.160	375.568
26.220	307.081
26.280	292.957
26.340	138.888
26.400	23.427
26.460	39.012
26.520	189.805
26.580	539.642
26.640	956.699
26.700	1031.646
26.760	1043.010
26.820	1043.945
26.880	1042.887
26.940	1034.826
27.000	1031.287
27.060	1040.078
27.120	993.879
27.180	1016.987
27.240	910.615
27.300	854.290
27.360	480.716
27.420	263.465
27.480	344.967
27.540	1043.981
27.600	1043.981
27.660	1043.981
27.720	1043.981
27.780	1043.981
27.840	1043.981
27.900	1043.981
27.960	1043.981
28.020	1043.981
28.080	1043.981
28.140	1043.981
28.200	1043.981
28.260	1043.981
28.320	1043.981
28.380	1043.981
28.440	1043.981
28.500	54.072
28.560	107.309
28.620	542.912
28.680	694.445
28.740	884.765
28.800	959.256
28.860	956.516
28.920	1010.975
28.980	913.478
29.040	878.853
29.100	932.532
29.160	843.353
29.220	878.883
29.280	729.499
29.340	636.951
29.400	294.469
29.460	34.408
29.520	51.967
29.580	374.896
29.640	661.098
29.700	985.131
29.760	1031.649
29.820	1035.470
29.880	1041.819
29.940	1034.492
30.000	1029.428
30.060	1030.989
30.120	960.877
30.180	1019.776
30.240	856.827
30.300	871.285
30.360	513.418
30.420	42.513
30.480	9.783
30.540	29.998
30.600	154.815
30.660	222.107
30.720	270.439
30.780	288.314
30.840	297.398
30.900	306.706
30.960	293.632
31.020	273.844
31.080	279.627
31.140	262.853
31.200	274.194
31.260	231.463
31.320	203.469
31.380	90.052
31.440	20.807
31.500	27.213
31.560	130.902
31.620	189.481
31.680	264.214
31.740	266.948
31.800	278.365
31.860	295.953
31.920	287.718
31.980	272.662
32.040	271.265
32.100	256.539
32.160	254.590
32.220	240.208
32.280	204.208
32.340	120.355
32.400	56.389
32.460	2.190
32.520	3.909
32.580	4.820
32.640	7.874
32.700	8.793
32.760	8.877
32.820	10.837
32.880	11.110
32.940	9.631
33.000	9.908
33.060	9.226
33.120	10.089
33.180	8.856
33.240	8.860
33.300	7.504
33.360	6.276
33.420	2.849
33.480	2.028
33.540	2.706
33.600	6.857
33.660	9.638
33.720	9.576
33.780	10.745
33.840	9.520
33.900	9.778
33.960	8.868
34.020	9.151
34.080	9.176
34.140	8.320
34.200	8.656
34.260	8.071
34.320	6.406
34.380	3.873
34.440	1.494
34.500	1.509
34.560	1.941
34.620	2.606
34.680	2.435
34.740	2.679
34.800	3.571
34.860	2.937
34.920	3.012
34.980	2.347
35.040	2.739
35.100	3.170
35.160	2.953
35.220	2.444
35.280	2.803
35.340	2.794
35.400	1.855
35.460	1.941
35.520	3.327
35.580	10.268
35.640	15.690
35.700	19.502
35.760	22.046
35.820	22.602
35.880	21.015
35.940	21.453
36.000	19.834
36.060	20.843
36.120	18.574
36.180	20.651
36.240	16.709
36.300	17.342
36.360	11.365
36.420	6.553
36.480	2.200
36.540	6.329
36.600	13.733
36.660	31.193
36.720	38.300
36.780	37.427
36.840	41.188
36.900	41.236
36.960	37.491
37.020	36.649
37.080	39.007
37.140	36.284
37.200	37.793
37.260	30.034
37.320	28.464
37.380	27.189
37.440	9.036
37.500	3.615
37.560	7.494
37.620	32.226
37.680	49.321
37.740	53.455
37.800	62.894
37.860	62.693
37.920	66.462
37.980	59.111
38.040	57.810
38.100	59.316
38.160	55.694
38.220	60.070
38.280	47.506
38.340	33.583
38.400	22.918
38.460	4.347
38.520	5.930
38.580	21.225
38.640	77.476
38.700	97.614
38.760	128.672
38.820	141.073
38.880	140.531
38.940	148.495
39.000	140.785
39.060	134.019
39.120	139.075
39.180	124.569
39.240	130.641
39.300	113.293
39.360	105.116
39.420	55.721
39.480	33.436
39.540	88.930
39.600	354.131
39.660	451.349
39.720	553.161
39.780	624.629
39.840	620.565
39.900	638.961
39.960	625.269
40.020	570.348
40.080	588.105
40.140	560.304
40.200	584.222
40.260	505.537
40.320	440.760
40.380	243.884
40.440	122.639
40.500	10.520
40.560	12.927
40.620	34.820
40.680	125.245
40.740	178.042
40.800	193.111
40.860	216.227
40.920	225.002
40.980	228.361
41.040	213.419
41.100	206.664
41.160	209.713
41.220	200.043
41.280	197.192
41.340	177.988
41.400	99.358
41.460	63.747
41.520	9.292
41.580	10.858
41.640	60.530
41.700	124.371
41.760	150.161
41.820	176.266
41.880	187.346
41.940	192.717
42.000	181.451
42.060	173.278
42.120	182.519
42.180	164.333
42.240	174.729
42.300	140.595
42.360	127.204
42.420	88.910
42.480	27.915
42.540	10.043
42.600	23.413
42.660	108.083
42.720	161.642
42.780	233.227
42.840	259.297
42.900	274.320
42.960	301.841
43.020	294.009
43.080	275.998
43.140	284.061
43.200	269.380
43.260	269.879
43.320	235.563
43.380	237.779
43.440	154.304
43.500	60.523
43.560	60.795
43.620	474.444
43.680	913.905
43.740	1043.981
43.800	1043.981
43.860	1043.981
43.920	1043.981
43.980	1043.981
44.040	1043.981
44.100	1043.981
44.160	1043.981
44.220	1043.981
44.280	1043.981
44.340	1043.981
44.400	1043.981
44.460	479.609
44.520	173.809
44.580	5.069
44.640	9.029
44.700	35.965
44.760	59.136
44.820	68.897
44.880	77.563
44.940	87.674
45.000	89.202
45.060	87.912
45.120	83.560
45.180	82.031
45.240	77.470
45.300	78.444
45.360	72.781
45.420	56.770
45.480	45.193
45.540	15.702
45.600	6.106
45.660	3.713
45.720	10.284
45.780	15.268
45.840	21.760
45.900	25.667
45.960	27.472
46.020	26.774
46.080	28.151
46.140	26.290
46.200	27.354
46.260	26.206
46.320	26.520
46.380	23.533
46.440	22.117
46.500	13.464
46.560	5.816
46.620	2.930
46.680	5.467
46.740	7.732
46.800	12.818
46.860	17.037
46.920	17.508
46.980	19.591
47.040	20.220
47.100	18.069
47.160	18.250
47.220	17.503
47.280	18.814
47.340	17.223
47.400	15.691
47.460	11.690
47.520	6.869
47.580	5.069
47.640	7.034
47.700	17.036
47.760	43.592
47.820	62.407
47.880	72.860
47.940	81.605
48.000	87.530
48.060	92.361
48.120	77.358
48.180	81.491
48.240	84.688
48.300	80.381
48.360	77.980
48.420	72.563
48.480	37.278
48.540	25.515
48.600	7.297
48.660	1.893
48.720	2.409
48.780	5.582
48.840	7.844
48.900	9.710
48.960	10.898
49.020	11.479
49.080	12.653
49.140	12.974
49.200	11.741
49.260	14.830
49.320	11.585
49.380	10.970
49.440	10.409
49.500	10.598
49.560	6.572
49.620	3.878
49.680	2.648
49.740	5.677
49.800	9.322
49.860	24.962
49.920	35.468
0.000	1043.981
0.060	1043.981
0.120	1043.981
0.180	1043.981
0.240	1043.981
0.300	1043.981
0.360	1043.981
0.420	1043.981
0.480	1043.981
0.540	1043.981
0.600	1043.981
0.660	1043.981
0.720	1043.981
0.780	1043.981
0.840	1043.981
0.900	1043.981
0.960	1043.981
1.020	1043.981
1.080	1043.981
1.140	1043.981
1.200	1043.981
1.260	905.366
1.320	133.476
1.380	34.596
1.440	38.119
1.500	54.395
1.560	75.739
1.620	107.098
1.680	296.472
1.740	1043.981
1.800	1043.981
1.860	1043.981
1.920	1043.981
1.980	1043.981
2.040	1043.981
2.100	1043.981
2.160	1043.981
2.220	1043.981
2.280	432.805
2.340	9.303
2.400	4.753
2.460	3.732
2.520	2.833
2.580	2.981
2.640	3.921
2.700	5.591
2.760	4.787
2.820	5.857
2.880	5.466
2.940	4.862
3.000	5.652
3.060	6.218
3.120	5.088
3.180	4.853
3.240	4.521
3.300	8.268
3.360	11.750
3.420	25.391
3.480	111.341
3.540	309.669
3.600	827.184
3.660	902.649
3.720	942.097
3.780	965.283
3.840	976.906
3.900	987.356
3.960	816.865
4.020	805.742
4.080	731.935
4.140	89.251
4.200	12.783
4.260	2.338
4.320	1.229
4.380	1.407
4.440	1.299
4.500	1.168
4.560	1.228
4.620	1.635
4.680	1.499
4.740	1.299
4.800	1.359
4.860	1.317
4.920	1.338
4.980	1.438
5.040	1.238
5.100	1.495
5.160	1.194
5.220	1.203
5.280	1.464
5.340	1.397
5.400	1.863
5.460	3.439
5.520	6.426
5.580	6.871
5.640	7.531
5.700	7.245
5.760	6.843
5.820	7.152
5.880	5.844
5.940	7.333
6.000	5.153
6.060	4.654
6.120	3.086
6.180	1.528
6.240	1.530
6.300	1.653
6.360	1.516
6.420	2.519
6.480	7.176
6.540	5.610
6.600	6.457
6.660	7.171
6.720	7.378
6.780	6.911
6.840	6.208
6.900	6.242
6.960	6.080
7.020	5.351
7.080	4.137
7.140	1.481
7.200	1.408
7.260	1.243
7.320	1.564
7.380	4.376
7.440	7.132
7.500	7.761
7.560	6.677
7.620	8.237
7.680	7.519
7.740	6.998
7.800	7.950
7.860	7.500
7.920	9.770
7.980	12.159
8.040	11.739
8.100	11.800
8.160	9.277
8.220	8.568
8.280	8.327
8.340	7.695
8.400	6.642
8.460	8.179
8.520	5.490
8.580	4.239
8.640	1.497
8.700	1.437
8.760	1.497
8.820	1.449
8.880	1.324
8.940	1.609
9.000	1.278
9.060	1.423
9.120	1.394
9.180	1.312
9.240	1.555
9.300	1.444
9.360	1.525
9.420	1.512
9.480	1.531
9.540	1.307
9.600	1.495
9.660	1.453
9.720	1.340
9.780	1.352
9.840	1.147
9.900	1.287
9.960	1.378
10.020	1.352
10.080	1.302
10.140	1.685
10.200	1.685
10.260	1.533
10.320	1.460
10.380	1.867
10.440	1.676
0.000	93.828
0.060	3551.277
0.120	2179.880
0.180	3160.293
0.240	3432.713
0.300	3333.878
0.360	3315.156
0.420	3168.355
0.480	3175.118
0.540	3244.749
0.600	3156.319
0.660	3190.886
0.720	3316.748
0.780	3224.510
0.840	3306.342
0.900	3527.702
0.960	3412.399
1.020	2262.870
1.080	3347.392
1.140	1432.709
1.200	1267.988
1.260	948.596
1.320	317.747
1.380	126.382
1.440	130.139
1.500	145.487
1.560	184.053
1.620	223.599
1.680	469.718
1.740	2629.081
1.800	3955.837
1.860	3887.328
1.920	3982.202
1.980	4258.876
2.040	3995.690
2.100	4266.084
2.160	3542.361
2.220	1043.661
2.280	159.000
2.340	99.597
2.400	96.693
2.460	96.005
2.520	96.171
2.580	96.477
2.640	98.196
2.700	98.540
2.760	98.298
2.820	99.075
2.880	99.164
2.940	98.833
3.000	98.960
3.060	99.750
3.120	100.209
3.180	97.738
3.240	98.540
3.300	101.075
3.360	105.418
3.420	123.147
3.480	186.116
3.540	364.910
3.600	977.877
3.660	1044.451
3.720	1101.179
3.780	1118.742
3.840	1174.706
3.900	1136.446
3.960	955.436
4.020	939.999
4.080	811.972
4.140	159.013
4.200	108.615
4.260	96.375
4.320	95.955
4.380	95.674
4.440	96.247
4.500	94.846
4.560	94.999
4.620	95.305
4.680	94.974
