Wed, Oct 04, 2017	10:33 AM
 x = amu	 y = amps
36.540	209.602
36.600	406.826
36.660	787.200
36.720	1181.367
36.780	1333.402
36.840	1431.893
36.900	1487.182
36.960	1440.847
37.020	1402.421
37.080	1414.343
37.140	1341.388
37.200	1256.882
37.260	1186.551
37.320	990.308
37.380	702.057
37.440	314.678
37.500	177.544
37.560	208.239
37.620	664.726
37.680	1169.306
37.740	1470.854
37.800	1632.543
37.860	1731.467
37.920	1811.223
37.980	1768.862
38.040	1718.642
38.100	1713.636
38.160	1685.476
38.220	1636.364
38.280	1529.620
38.340	962.517
38.400	527.032
38.460	262.433
38.520	208.341
38.580	551.958
38.640	1639.090
38.700	2605.723
38.760	3376.393
38.820	3866.198
38.880	4125.436
38.940	4301.186
39.000	4236.918
39.060	4112.050
39.120	3974.025
39.180	3853.271
39.240	3685.175
39.300	3377.093
39.360	2749.797
39.420	1344.903
39.480	490.186
39.540	221.994
39.600	257.338
39.660	382.792
39.720	550.213
39.780	672.623
39.840	731.058
39.900	764.784
39.960	775.368
40.020	762.033
40.080	748.710
40.140	742.253
40.200	714.093
40.260	654.422
40.320	602.394
40.380	449.697
40.440	307.392
40.500	166.807
40.560	124.064
40.620	150.517
40.680	227.407
40.740	322.167
40.800	368.311
40.860	390.956
40.920	410.099
40.980	414.366
41.040	404.954
41.100	399.413
41.160	391.096
41.220	382.907
41.280	364.490
41.340	324.128
41.400	231.356
41.460	156.083
41.520	120.701
41.580	124.726
41.640	221.192
41.700	370.081
41.760	456.256
41.820	512.717
41.880	555.180
41.940	575.227
42.000	569.037
42.060	552.785
42.120	559.294
42.180	549.741
42.240	540.151
42.300	504.336
42.360	378.551
42.420	265.859
42.480	155.727
42.540	111.200
42.600	109.239
42.660	138.978
42.720	171.201
42.780	204.125
42.840	228.057
42.900	238.233
42.960	248.270
43.020	253.352
43.080	245.773
43.140	245.047
43.200	242.691
43.260	242.920
43.320	231.177
43.380	216.085
43.440	178.958
43.500	151.868
43.560	162.630
43.620	462.153
43.680	1051.214
43.740	1678.331
43.800	2093.335
43.860	2311.587
43.920	2467.558
43.980	2506.710
44.040	2444.390
44.100	2454.006
44.160	2462.234
44.220	2390.095
44.280	2112.173
44.340	2075.619
44.400	1548.139
44.460	661.860
44.520	240.144
