Mon, Oct 09, 2017	2:30 PM
 x = amu	 y = amps

54.540	228.745
54.600	216.556
54.660	208.150
54.720	179.009
54.780	144.582
54.840	127.312
54.900	143.729
54.960	171.685
55.020	214.582
55.080	269.310
55.140	298.006
55.200	313.047
55.260	330.382
55.320	338.316
55.380	331.515
55.440	335.947
55.500	326.510
55.560	327.134
55.620	316.308
55.680	298.579
55.740	244.958
55.800	193.656
55.860	144.964
55.920	117.135
55.980	115.492
56.040	128.904
56.100	140.940
56.160	146.989
56.220	154.237
56.280	156.058
56.340	160.961
56.400	160.617
56.460	160.261
56.520	159.560
56.580	158.032
56.640	157.077
56.700	153.854
56.760	150.467
56.820	135.552
56.880	117.288
56.940	110.194
57.000	111.009
57.060	117.492
57.120	128.764
57.180	139.335
57.240	144.417
57.300	147.830
57.360	151.027
57.420	149.562
57.480	148.925
57.540	151.893
57.600	150.339
57.660	147.359
57.720	145.232
57.780	139.399
57.840	127.821
57.900	116.728
57.960	109.315
58.020	105.927
58.080	109.939
58.140	115.059
58.200	118.192
58.260	120.880
58.320	123.644
58.380	123.745
58.440	123.465
58.500	122.625
58.560	123.911
58.620	123.491
58.680	122.879
58.740	121.491
58.800	117.135
58.860	111.735
58.920	107.583
58.980	104.832
59.040	104.883
59.100	107.940
59.160	109.226
59.220	110.245
59.280	112.830
59.340	112.550
59.400	113.314
59.460	113.263
59.520	111.939
59.580	111.659
59.640	112.869
59.700	111.735
59.760	111.786
59.820	110.945
59.880	108.182
59.940	110.525
60.000	122.918
60.060	162.643
60.120	193.567
60.180	226.083
60.240	250.830
60.300	260.713
60.360	275.131
60.420	275.538
60.480	272.202
60.540	277.665
60.600	276.774
60.660	276.303
60.720	258.624
60.780	253.071
60.840	206.965
60.900	162.681
60.960	136.546
61.020	125.172
61.080	129.884
61.140	150.836
61.200	173.889
61.260	184.231
61.320	193.083
61.380	202.673
61.440	202.610
61.500	200.572
61.560	200.381
61.620	199.234
61.680	201.985
61.740	191.325
61.800	184.091
61.860	161.560
61.920	137.539
61.980	118.778
62.040	127.159
62.100	144.608
62.160	175.417
62.220	201.935
62.280	220.950
62.340	236.157
62.400	244.079
62.460	248.996
62.520	251.632
62.580	252.091
62.640	245.302
62.700	246.614
62.760	235.113
62.820	220.721
62.880	186.243
62.940	155.930
63.000	126.497
63.060	132.432
63.120	189.950
63.180	238.157
63.240	293.955
63.300	337.183
63.360	361.522
63.420	388.294
63.480	399.719
63.540	390.230
63.600	402.750
63.660	399.655
63.720	401.655
63.780	378.118
63.840	353.575
63.900	269.208
63.960	194.904
64.020	160.630
64.080	147.932
64.140	160.592
64.200	199.782
64.260	244.551
64.320	268.559
64.380	283.269
64.440	296.324
64.500	298.630
64.560	299.878
64.620	302.629
64.680	303.839
64.740	295.102
64.800	281.626
64.860	256.370
64.920	198.776
64.980	161.343
65.040	135.578
65.100	127.605
65.160	146.213
65.220	209.525
65.280	264.560
65.340	316.130
65.400	356.428
65.460	385.581
65.520	397.082
65.580	400.636
65.640	398.967
65.700	398.025
65.760	391.071
65.820	383.900
65.880	372.323
65.940	324.434
66.000	237.648
66.060	162.018
66.120	126.560
66.180	136.418
66.240	156.631
66.300	178.156
66.360	206.163
66.420	217.486
66.480	227.981
66.540	235.508
66.600	238.348
66.660	240.195
66.720	238.603
66.780	240.080
66.840	225.803
66.900	219.180
66.960	189.109
67.020	149.015
67.080	129.553
67.140	118.727
67.200	137.170
67.260	155.790
67.320	179.760
67.380	200.215
67.440	217.014
67.500	235.915
67.560	239.482
67.620	238.361
67.680	238.514
67.740	237.355
67.800	237.609
67.860	228.388
67.920	219.078
67.980	179.060
68.040	149.779
68.100	128.649
68.160	113.009
68.220	111.442
68.280	116.804
68.340	123.363
68.400	126.433
68.460	131.922
68.520	134.419
68.580	136.711
68.640	137.017
68.700	139.360
68.760	138.201
68.820	138.634
68.880	134.049
68.940	127.414
69.000	119.377
69.060	113.136
69.120	113.009
69.180	120.905
69.240	139.653
69.300	154.708
