Thu, Oct 12, 2017	3:43 PM
 x = amu	 y = amps

6.360	105.252
6.420	106.220
6.480	108.118
6.540	108.207
6.600	109.060
6.660	111.149
6.720	108.920
6.780	109.264
6.840	107.175
6.900	108.666
6.960	107.774
7.020	108.169
7.080	104.233
7.140	103.074
7.200	103.495
7.260	103.265
7.320	104.997
7.380	107.201
7.440	111.149
7.500	109.990
7.560	111.366
7.620	112.410
7.680	110.729
7.740	110.652
7.800	109.901
7.860	111.340
7.920	111.213
7.980	111.659
8.040	111.391
8.100	106.309
8.160	106.386
8.220	106.755
8.280	105.647
8.340	104.959
8.400	104.424
8.460	104.373
8.520	104.717
8.580	105.252
8.640	102.769
8.700	103.762
8.760	104.220
8.820	102.845
8.880	103.800
8.940	104.539
9.000	103.826
9.060	103.444
9.120	103.100
9.180	102.285
9.240	103.813
9.300	103.558
9.360	103.864
9.420	104.628
9.480	103.838
9.540	103.584
9.600	103.533
9.660	103.202
9.720	104.220
9.780	103.940
9.840	102.794
9.900	103.444
9.960	102.972
10.020	104.921
10.080	103.622
10.140	103.826
10.200	103.265
10.260	102.335
10.320	104.195
10.380	102.819
10.440	103.838
10.500	102.628
10.560	102.794
10.620	104.055
10.680	105.176
10.740	105.481
10.800	105.188
10.860	104.755
10.920	105.138
10.980	105.469
11.040	105.723
11.100	107.417
11.160	109.735
11.220	119.199
11.280	133.005
11.340	246.716
11.400	465.948
11.460	543.577
11.520	581.251
11.580	610.596
11.640	624.237
11.700	603.362
11.760	611.653
11.820	540.138
11.880	523.237
11.940	522.562
12.000	455.810
12.060	304.183
12.120	137.131
12.180	107.341
12.240	106.997
12.300	115.798
12.360	174.806
12.420	204.826
12.480	240.004
12.540	244.729
12.600	243.621
12.660	252.282
12.720	249.123
12.780	244.780
12.840	230.592
12.900	233.164
12.960	223.956
13.020	204.036
13.080	176.092
13.140	115.505
13.200	116.447
13.260	129.757
13.320	189.873
13.380	314.194
13.440	576.832
13.500	658.676
13.560	693.409
13.620	699.841
13.680	720.333
13.740	705.113
13.800	659.772
13.860	643.813
13.920	603.133
13.980	526.956
14.040	508.908
14.100	352.518
14.160	169.049
14.220	110.296
14.280	121.937
14.340	141.984
14.400	303.622
14.460	584.563
14.520	660.230
14.580	706.260
14.640	735.821
14.700	744.214
14.760	692.555
