Wed, Oct 11, 2017	3:33 PM
 x = amu	 y = amps

69.900	249.225
69.960	231.330
70.020	202.075
70.080	171.074
70.140	146.302
70.200	128.522
70.260	118.638
70.320	115.199
70.380	115.989
70.440	119.988
70.500	123.669
70.560	128.025
70.620	131.094
70.680	134.037
70.740	136.724
70.800	137.692
70.860	136.635
70.920	136.062
70.980	135.106
71.040	128.356
71.100	122.128
71.160	117.084
71.220	113.174
71.280	109.875
71.340	108.920
71.400	112.334
71.460	116.346
71.520	121.988
71.580	126.280
71.640	129.910
71.700	133.820
71.760	136.673
71.820	137.233
71.880	137.985
71.940	136.953
72.000	133.514
72.060	127.948
72.120	122.090
72.180	116.944
72.240	112.537
72.300	110.067
72.360	110.296
72.420	112.143
72.480	114.461
72.540	117.708
72.600	119.835
72.660	121.593
72.720	124.395
72.780	124.420
72.840	124.471
72.900	124.229
72.960	123.529
73.020	121.771
73.080	117.810
73.140	114.626
73.200	110.092
73.260	109.200
73.320	108.398
73.380	109.786
73.440	111.238
73.500	113.302
73.560	115.989
73.620	117.275
73.680	119.186
73.740	119.020
73.800	120.307
73.860	120.230
73.920	119.912
73.980	118.918
74.040	117.301
74.100	114.168
74.160	111.162
74.220	109.557
74.280	107.863
74.340	108.691
74.400	112.435
74.460	116.346
74.520	120.536
74.580	123.516
74.640	127.197
74.700	129.655
74.760	130.216
74.820	131.948
74.880	131.082
74.940	129.286
75.000	126.102
75.060	121.682
75.120	117.963
75.180	114.091
75.240	110.754
75.300	108.296
75.360	108.424
75.420	110.703
75.480	112.563
75.540	115.378
75.600	116.931
75.660	118.689
75.720	120.205
75.780	121.427
75.840	120.943
75.900	121.313
75.960	120.982
76.020	117.759
76.080	115.263
76.140	112.639
76.200	109.786
76.260	107.252
76.320	106.946
76.380	107.761
76.440	109.621
76.500	112.232
76.560	114.894
76.620	115.403
76.680	117.441
76.740	118.613
76.800	120.854
76.860	120.498
76.920	120.319
76.980	121.376
77.040	119.530
77.100	116.397
77.160	112.970
77.220	110.347
77.280	108.411
77.340	108.767
77.400	113.493
77.460	123.427
77.520	141.806
77.580	157.854
77.640	172.513
77.700	185.364
77.760	195.706
77.820	203.450
77.880	207.029
77.940	207.742
78.000	205.488
78.060	192.077
78.120	173.227
78.180	157.586
78.240	143.130
78.300	128.509
78.360	117.441
78.420	114.066
78.480	116.689
78.540	120.116
78.600	125.478
78.660	129.222
78.720	133.884
78.780	138.749
78.840	141.602
78.900	143.041
78.960	142.544
79.020	141.908
79.080	136.775
79.140	129.591
79.200	123.236
79.260	116.944
79.320	111.493
79.380	109.863
79.440	113.977
79.500	120.179
79.560	128.560
79.620	135.629
79.680	142.532
79.740	150.925
79.800	155.943
79.860	157.714
79.920	159.993
79.980	161.191
80.040	156.453
80.100	146.760
80.160	135.858
80.220	126.904
80.280	118.867
80.340	113.658
80.400	111.200
80.460	111.977
80.520	116.129
80.580	123.109
